game,favorite,underdog,spread,consensus_prediction,consensus_detail,model_a,model_a_prob,model_a_conf,model_b,model_b_prob,model_b_conf,model_e,model_e_prob,model_e_conf,cover_votes,agreement,avg_probability
Falcons @ Buccaneers,Buccaneers,Falcons,Buccaneers -4.5,Underdog covers,Falcons (Underdog) covers +4.5,Falcons covers,50.1%,MEDIUM,Falcons covers,50.5%,MEDIUM,Falcons covers,45.3%,MEDIUM,3,3/3,48.6%
Browns @ Bears,Bears,Browns,Bears -7.5,Favorite covers,Bears (Favorite) covers -7.5,Bears covers,33.7%,LOW,Bears covers,45.4%,MEDIUM,Browns covers,47.2%,LOW,1,1/3,42.1%
Ravens @ Bengals,Ravens,Bengals,Ravens -2.5,Underdog covers,Bengals (Underdog) covers +2.5,Bengals covers,67.2%,HIGH,Bengals covers,58.2%,MEDIUM,Bengals covers,50.9%,LOW,3,3/3,58.8%
Chargers @ Chiefs,Chiefs,Chargers,Chiefs -4.5,Favorite covers,Chiefs (Favorite) covers -4.5,Chiefs covers,41.5%,MEDIUM,Chiefs covers,47.9%,MEDIUM,Chargers covers,45.9%,LOW,1,1/3,45.1%
Bills @ Patriots,Bills,Patriots,Bills -1.5,Favorite covers,Bills (Favorite) covers -1.5,Bills covers,42.1%,MEDIUM,Bills covers,48.0%,MEDIUM,Patriots covers,50.6%,MEDIUM,1,1/3,46.9%
Commanders @ Giants,Giants,Commanders,Giants -1.5,Underdog covers,Commanders (Underdog) covers +1.5,Commanders covers,61.8%,HIGH,Commanders covers,54.5%,MEDIUM,Commanders covers,49.5%,MEDIUM,3,3/3,55.3%
Raiders @ Eagles,Eagles,Raiders,Eagles -11.5,Favorite covers,Eagles (Favorite) covers -11.5,Eagles covers,45.4%,MEDIUM,Eagles covers,48.0%,MEDIUM,Raiders covers,52.6%,LOW,1,1/3,48.7%
Jets @ Jaguars,Jaguars,Jets,Jaguars -12.5,Underdog covers,Jets (Underdog) covers +12.5,Jets covers,50.6%,MEDIUM,Jets covers,50.6%,MEDIUM,Jaguars covers,48.4%,LOW,2,2/3,49.9%
Cardinals @ Texans,Texans,Cardinals,Texans -9.5,Favorite covers,Texans (Favorite) covers -9.5,Texans covers,47.1%,MEDIUM,Texans covers,49.0%,MEDIUM,Cardinals covers,54.6%,MEDIUM,1,1/3,50.2%
Packers @ Broncos,Packers,Broncos,Packers -2.5,Favorite covers,Packers (Favorite) covers -2.5,Packers covers,43.4%,MEDIUM,Packers covers,48.9%,MEDIUM,Broncos covers,45.9%,LOW,1,1/3,46.1%
Lions @ Rams,Rams,Lions,Rams -5.5,Favorite covers,Rams (Favorite) covers -5.5,Rams covers,49.2%,MEDIUM,Lions covers,50.0%,MEDIUM,Rams covers,53.5%,MEDIUM,1,1/3,50.9%
Panthers @ Saints,Panthers,Saints,Panthers -2.5,Underdog covers,Saints (Underdog) covers +2.5,Saints covers,50.4%,MEDIUM,Saints covers,50.5%,MEDIUM,Saints covers,52.3%,LOW,3,3/3,51.1%
Titans @ 49ers,49ers,Titans,49ers -12.5,Underdog covers,Titans (Underdog) covers +12.5,Titans covers,50.9%,MEDIUM,Titans covers,50.8%,MEDIUM,49ers covers,45.8%,MEDIUM,2,2/3,49.2%
Colts @ Seahawks,Seahawks,Colts,Seahawks -13.5,Underdog covers,Colts (Underdog) covers +13.5,Colts covers,54.0%,MEDIUM,Colts covers,54.0%,MEDIUM,Seahawks covers,50.8%,LOW,2,2/3,52.9%
Vikings @ Cowboys,Cowboys,Vikings,Cowboys -5.5,Favorite covers,Cowboys (Favorite) covers -5.5,Cowboys covers,43.0%,MEDIUM,Cowboys covers,49.0%,MEDIUM,Vikings covers,51.6%,MEDIUM,1,1/3,47.9%
Dolphins @ Steelers,Steelers,Dolphins,Steelers -3.0,Underdog covers,Dolphins (Underdog) covers +3.0,Dolphins covers,50.3%,MEDIUM,Dolphins covers,50.5%,MEDIUM,Dolphins covers,53.6%,LOW,3,3/3,51.5%
