team,team_name,week,season,last_updated,epa_def_allowed_per_play,epa_off_per_play,epa_pass_def_allowed,epa_pass_off,epa_rush_def_allowed,epa_rush_off,net_epa_per_play,success_rate_def,success_rate_off,total_epa_def_allowed,total_epa_off
IND,Indianapolis Colts,10,2025,2025-11-04 21:57:09,-0.04,0.18,-0.05,0.17,-0.04,0.18,0.22,0.45630000000000004,0.5009,-24.78,97.94
BUF,Buffalo Bills,10,2025,2025-11-04 21:57:09,-0.02,0.17,-0.07,0.18,0.05,0.13,0.19,0.42479999999999996,0.49200000000000005,-8.21,84.57
LA,Los Angeles Rams,10,2025,2025-11-04 21:57:09,-0.11,0.07,-0.12,0.2,-0.1,-0.1,0.18,0.4102,0.48219999999999996,-57.54,34.35
KC,Kansas City Chiefs,10,2025,2025-11-04 21:57:09,-0.02,0.16,-0.05,0.19,0.02,0.08,0.18,0.4497,0.4844,-11.06,89.67
DET,Detroit Lions,10,2025,2025-11-04 21:57:09,-0.09,0.09,-0.09,0.21,-0.08,-0.05,0.18,0.3937,0.4568,-42.51,43.52
GB,Green Bay Packers,10,2025,2025-11-04 21:57:09,0.0,0.16,0.01,0.29,-0.02,-0.01,0.16,0.4286,0.4867,-1.89,76.42
DEN,Denver Broncos,10,2025,2025-11-04 21:57:09,-0.08,0.05,-0.08,0.07,-0.09,0.03,0.13,0.3657,0.4129,-47.53,30.79
HOU,Houston Texans,10,2025,2025-11-04 21:57:09,-0.13,-0.01,-0.2,0.04,-0.02,-0.07,0.12000000000000001,0.38189999999999996,0.4028,-58.65,-2.89
NE,New England Patriots,10,2025,2025-11-04 21:57:09,-0.03,0.08,0.01,0.23,-0.1,-0.11,0.11,0.44060000000000005,0.4485,-15.57,44.85
TB,Tampa Bay Buccaneers,10,2025,2025-11-04 21:57:09,-0.08,0.02,-0.06,0.05,-0.1,-0.03,0.1,0.4303,0.4102,-38.66,9.31
SEA,Seattle Seahawks,10,2025,2025-11-04 21:57:09,-0.04,0.06,0.03,0.26,-0.16,-0.15,0.1,0.41950000000000004,0.4549,-19.33,27.34
PHI,Philadelphia Eagles,10,2025,2025-11-04 21:57:09,-0.01,0.07,-0.02,0.08,0.01,0.04,0.08,0.44909999999999994,0.4389,-5.13,30.4
CHI,Chicago Bears,10,2025,2025-11-04 21:57:09,0.02,0.09,0.06,0.13,-0.04,0.03,0.06999999999999999,0.4708,0.4512,8.04,44.89
LAC,Los Angeles Chargers,10,2025,2025-11-04 21:57:09,-0.03,0.03,-0.04,0.04,0.0,0.01,0.06,0.406,0.4619,-13.25,20.15
JAX,Jacksonville Jaguars,10,2025,2025-11-04 21:57:09,-0.02,0.02,0.02,-0.04,-0.07,0.1,0.04,0.4374,0.44670000000000004,-7.7,9.08
ARI,Arizona Cardinals,10,2025,2025-11-04 21:57:09,0.0,0.02,0.03,0.06,-0.06,-0.06,0.02,0.46,0.41700000000000004,0.73,7.77
SF,San Francisco 49ers,10,2025,2025-11-04 21:57:09,0.04,0.03,0.09,0.1,-0.03,-0.07,-0.010000000000000002,0.46990000000000004,0.47119999999999995,23.58,18.71
PIT,Pittsburgh Steelers,10,2025,2025-11-04 21:57:09,0.05,0.03,0.07,0.07,0.02,-0.03,-0.020000000000000004,0.4611,0.4292,26.8,11.84
ATL,Atlanta Falcons,10,2025,2025-11-04 21:57:09,-0.02,-0.05,-0.06,-0.04,0.03,-0.05,-0.030000000000000002,0.44689999999999996,0.428,-7.3,-22.3
DAL,Dallas Cowboys,10,2025,2025-11-04 21:57:09,0.15,0.11,0.19,0.16,0.09,0.03,-0.039999999999999994,0.4932,0.4621,87.88,65.16
BAL,Baltimore Ravens,10,2025,2025-11-04 21:57:09,0.09,0.02,0.13,0.03,0.02,0.02,-0.06999999999999999,0.4706,0.4432,47.94,10.96
MIN,Minnesota Vikings,10,2025,2025-11-04 21:57:09,-0.03,-0.1,-0.05,-0.11,-0.01,-0.08,-0.07,0.4154,0.4336,-15.35,-45.65
CAR,Carolina Panthers,10,2025,2025-11-04 21:57:09,0.06,-0.04,0.11,-0.1,-0.01,0.04,-0.1,0.4125,0.44909999999999994,31.48,-20.79
WAS,Washington Commanders,10,2025,2025-11-04 21:57:09,0.1,0.0,0.19,-0.02,-0.01,0.03,-0.1,0.4493,0.4621,55.47,2.3
