game,final_score,away_score,home_score,favorite,underdog,spread,favorite_score,underdog_score,margin,underdog_covered,week
Cowboys @ Eagles,PHI 24 - DAL 20,20,24,Eagles,Cowboys,8.5,24,20,4,True,1
Chiefs @ Chargers,LAC 27 - KC 21,21,27,Chiefs,Chargers,3.0,21,27,-6,True,1
Buccaneers @ Falcons,TB 23 - ATL 20,23,20,Buccaneers,Falcons,1.5,23,20,3,False,1
Bengals @ Browns,CIN 17 - CLE 16,17,16,Bengals,Browns,5.5,17,16,1,True,1
Dolphins @ Colts,IND 33 - MIA 8,8,33,Colts,Dolphins,1.5,33,8,25,False,1
Raiders @ Patriots,LV 20 - NE 13,20,13,Patriots,Raiders,2.5,13,20,-7,True,1
Cardinals @ Saints,ARI 20 - NO 13,20,13,Cardinals,Saints,6.5,20,13,7,False,1
Steelers @ Jets,PIT 34 - NYJ 32,34,32,Steelers,Jets,3.0,34,32,2,True,1
Giants @ Commanders,WSH 21 - NYG 6,6,21,Commanders,Giants,6.5,21,6,15,False,1
Panthers @ Jaguars,JAX 26 - CAR 10,10,26,Jaguars,Panthers,4.5,26,10,16,False,1
Titans @ Broncos,DEN 20 - TEN 12,12,20,Broncos,Titans,8.5,20,12,8,True,1
49ers @ Seahawks,SF 17 - SEA 13,17,13,49ers,Seahawks,1.5,17,13,4,False,1
Lions @ Packers,GB 27 - DET 13,13,27,Packers,Lions,1.5,27,13,14,False,1
Texans @ Rams,LAR 14 - HOU 9,9,14,Rams,Texans,3.0,14,9,5,False,1
Ravens @ Bills,BUF 41 - BAL 40,40,41,Bills,Ravens,1.5,41,40,1,True,1
Vikings @ Bears,MIN 27 - CHI 24,27,24,Bears,Vikings,1.5,24,27,-3,True,1
Commanders @ Packers,GB 27 - WSH 18,18,27,Packers,Commanders,3.5,27,18,9,False,2
Jaguars @ Bengals,CIN 31 - JAX 27,27,31,Bengals,Jaguars,3.5,31,27,4,False,2
Giants @ Cowboys,DAL 40 - NYG 37,37,40,Cowboys,Giants,6.5,40,37,3,True,2
Bears @ Lions,DET 52 - CHI 21,21,52,Lions,Bears,5.5,52,21,31,False,2
Rams @ Titans,LAR 33 - TEN 19,33,19,Rams,Titans,3.0,33,19,14,False,2
Patriots @ Dolphins,NE 33 - MIA 27,33,27,Dolphins,Patriots,1.5,27,33,-6,True,2
49ers @ Saints,SF 26 - NO 21,26,21,49ers,Saints,1.5,26,21,5,False,2
Bills @ Jets,BUF 30 - NYJ 10,30,10,Bills,Jets,1.5,30,10,20,False,2
Seahawks @ Steelers,SEA 31 - PIT 17,31,17,Steelers,Seahawks,3.0,17,31,-14,True,2
Browns @ Ravens,BAL 41 - CLE 17,17,41,Ravens,Browns,11.5,41,17,24,False,2
Broncos @ Colts,IND 29 - DEN 28,28,29,Colts,Broncos,3.5,29,28,1,True,2
Panthers @ Cardinals,ARI 27 - CAR 22,22,27,Cardinals,Panthers,3.5,27,22,5,False,2
Eagles @ Chiefs,PHI 20 - KC 17,20,17,Eagles,Chiefs,7.5,20,17,3,True,2
Falcons @ Vikings,ATL 22 - MIN 6,22,6,Vikings,Falcons,1.5,6,22,-16,True,2
Buccaneers @ Texans,TB 20 - HOU 19,20,19,Buccaneers,Texans,1.5,20,19,1,True,2
Chargers @ Raiders,LAC 20 - LV 9,20,9,Chargers,Raiders,3.0,20,9,11,False,2
Dolphins @ Bills,BUF 31 - MIA 21,21,31,Bills,Dolphins,12.5,31,21,10,True,3
Packers @ Browns,CLE 13 - GB 10,10,13,Packers,Browns,8.5,10,13,-3,True,3
Colts @ Titans,IND 41 - TEN 20,41,20,Colts,Titans,3.5,41,20,21,False,3
Bengals @ Vikings,MIN 48 - CIN 10,10,48,Vikings,Bengals,3.0,48,10,38,False,3
Steelers @ Patriots,PIT 21 - NE 14,21,14,Steelers,Patriots,1.5,21,14,7,False,3
Rams @ Eagles,PHI 33 - LAR 26,26,33,Eagles,Rams,3.5,33,26,7,False,3
Jets @ Buccaneers,TB 29 - NYJ 27,27,29,Buccaneers,Jets,7.0,29,27,2,True,3
Raiders @ Commanders,WSH 41 - LV 24,24,41,Commanders,Raiders,3.5,41,24,17,False,3
Falcons @ Panthers,CAR 30 - ATL 0,0,30,Falcons,Panthers,5.5,0,30,-30,True,3
Texans @ Jaguars,JAX 17 - HOU 10,10,17,Jaguars,Texans,1.5,17,10,7,False,3
Broncos @ Chargers,LAC 23 - DEN 20,20,23,Chargers,Broncos,2.5,23,20,3,False,3
Saints @ Seahawks,SEA 44 - NO 13,13,44,Seahawks,Saints,7.5,44,13,31,False,3
Cowboys @ Bears,CHI 31 - DAL 14,14,31,Bears,Cowboys,1.5,31,14,17,False,3
Cardinals @ 49ers,SF 16 - ARI 15,15,16,49ers,Cardinals,1.5,16,15,1,True,3
Chiefs @ Giants,KC 22 - NYG 9,22,9,Chiefs,Giants,6.5,22,9,13,False,3
Lions @ Ravens,DET 38 - BAL 30,38,30,Ravens,Lions,5.5,30,38,-8,True,3
Seahawks @ Cardinals,SEA 23 - ARI 20,23,20,Seahawks,Cardinals,1.5,23,20,3,False,4
Vikings @ Steelers,PIT 24 - MIN 21,21,24,Vikings,Steelers,2.5,21,24,-3,True,4
Commanders @ Falcons,ATL 34 - WSH 27,27,34,Commanders,Falcons,1.5,27,34,-7,True,4
Saints @ Bills,BUF 31 - NO 19,19,31,Bills,Saints,16.5,31,19,12,True,4
Browns @ Lions,DET 34 - CLE 10,10,34,Lions,Browns,8.5,34,10,24,False,4
Panthers @ Patriots,NE 42 - CAR 13,13,42,Patriots,Panthers,5.5,42,13,29,False,4
Chargers @ Giants,NYG 21 - LAC 18,18,21,Chargers,Giants,6.5,18,21,-3,True,4
Eagles @ Buccaneers,PHI 31 - TB 25,31,25,Eagles,Buccaneers,3.5,31,25,6,False,4
Titans @ Texans,HOU 26 - TEN 0,0,26,Texans,Titans,7.0,26,0,26,False,4
Colts @ Rams,LAR 27 - IND 20,20,27,Rams,Colts,3.5,27,20,7,False,4
Jaguars @ 49ers,JAX 26 - SF 21,26,21,49ers,Jaguars,3.0,21,26,-5,True,4
Ravens @ Chiefs,KC 37 - BAL 20,20,37,Chiefs,Ravens,2.5,37,20,17,False,4
Bears @ Raiders,CHI 25 - LV 24,25,24,Raiders,Bears,1.5,24,25,-1,True,4
Packers @ Cowboys,GB 40 - DAL 40,40,40,Eagles,Cowboys,7.0,40,40,0,True,4
Jets @ Dolphins,MIA 27 - NYJ 21,21,27,Dolphins,Jets,2.5,27,21,6,False,4
Bengals @ Broncos,DEN 28 - CIN 3,3,28,Broncos,Bengals,7.0,28,3,25,False,4
49ers @ Rams,SF 26 - LAR 23,26,23,Rams,49ers,5.5,23,26,-3,True,5
Vikings @ Browns,MIN 21 - CLE 17,21,17,Vikings,Browns,3.5,21,17,4,False,5
Raiders @ Colts,IND 40 - LV 6,6,40,Colts,Raiders,6.5,40,6,34,False,5
Giants @ Saints,NO 26 - NYG 14,14,26,Saints,Giants,1.5,26,14,12,False,5
Cowboys @ Jets,DAL 37 - NYJ 22,37,22,Cowboys,Jets,2.5,37,22,15,False,5
Broncos @ Eagles,DEN 21 - PHI 17,21,17,Eagles,Broncos,3.5,17,21,-4,True,5
Dolphins @ Panthers,CAR 27 - MIA 24,24,27,Dolphins,Panthers,1.5,24,27,-3,True,5
Texans @ Ravens,HOU 44 - BAL 10,44,10,Texans,Ravens,2.5,44,10,34,False,5
Titans @ Cardinals,TEN 22 - ARI 21,22,21,Cardinals,Titans,8.5,21,22,-1,True,5
Buccaneers @ Seahawks,TB 38 - SEA 35,38,35,Seahawks,Buccaneers,3.5,35,38,-3,True,5
Lions @ Bengals,DET 37 - CIN 24,37,24,Lions,Bengals,10.5,37,24,13,False,5
Commanders @ Chargers,WSH 27 - LAC 10,27,10,Chargers,Commanders,2.5,10,27,-17,True,5
Patriots @ Bills,NE 23 - BUF 20,23,20,Bills,Patriots,8.0,20,23,-3,True,5
Chiefs @ Jaguars,JAX 31 - KC 28,28,31,Chiefs,Jaguars,3.5,28,31,-3,True,5
Eagles @ Giants,NYG 34 - PHI 17,17,34,Eagles,Giants,7.5,17,34,-17,True,6
Broncos @ Jets,DEN 13 - NYJ 11,13,11,Broncos,Jets,7.5,13,11,2,True,6
Cardinals @ Colts,IND 31 - ARI 27,27,31,Colts,Cardinals,6.5,31,27,4,True,6
Chargers @ Dolphins,LAC 29 - MIA 27,29,27,Chargers,Dolphins,4.5,29,27,2,True,6
Patriots @ Saints,NE 25 - NO 19,25,19,Patriots,Saints,3.5,25,19,6,False,6
Browns @ Steelers,PIT 23 - CLE 9,9,23,Steelers,Browns,5.0,23,9,14,False,6
Cowboys @ Panthers,CAR 30 - DAL 27,27,30,Cowboys,Panthers,3.5,27,30,-3,True,6
Seahawks @ Jaguars,SEA 20 - JAX 12,20,12,Seahawks,Jaguars,1.5,20,12,8,False,6
Rams @ Ravens,LAR 17 - BAL 3,17,3,Rams,Ravens,7.5,17,3,14,False,6
Titans @ Raiders,LV 20 - TEN 10,10,20,Raiders,Titans,4.5,20,10,10,False,6
Bengals @ Packers,GB 27 - CIN 18,18,27,Packers,Bengals,14.5,27,18,9,True,6
49ers @ Buccaneers,TB 30 - SF 19,19,30,49ers,Buccaneers,3.0,19,30,-11,True,6
Lions @ Chiefs,KC 30 - DET 17,17,30,Chiefs,Lions,2.5,30,17,13,False,6
Bills @ Falcons,ATL 24 - BUF 14,14,24,Bills,Falcons,4.5,14,24,-10,True,6
