game,final_score,away_score,home_score,favorite,underdog,spread,favorite_score,underdog_score,margin,underdog_covered,week
Cowboys @ Eagles,PHI 24 - DAL 20,20,24,Eagles,Cowboys,8.5,24,20,4,True,1
Chiefs @ Chargers,LAC 27 - KC 21,21,27,Chiefs,Chargers,3.0,21,27,-6,True,1
Buccaneers @ Falcons,TB 23 - ATL 20,23,20,Buccaneers,Falcons,1.5,23,20,3,False,1
Bengals @ Browns,CIN 17 - CLE 16,17,16,Bengals,Browns,5.5,17,16,1,True,1
Dolphins @ Colts,IND 33 - MIA 8,8,33,Colts,Dolphins,1.5,33,8,25,False,1
Raiders @ Patriots,LV 20 - NE 13,20,13,Patriots,Raiders,2.5,13,20,-7,True,1
Cardinals @ Saints,ARI 20 - NO 13,20,13,Cardinals,Saints,6.5,20,13,7,False,1
Steelers @ Jets,PIT 34 - NYJ 32,34,32,Steelers,Jets,3.0,34,32,2,True,1
Giants @ Commanders,WSH 21 - NYG 6,6,21,Commanders,Giants,6.5,21,6,15,False,1
Panthers @ Jaguars,JAX 26 - CAR 10,10,26,Jaguars,Panthers,4.5,26,10,16,False,1
Titans @ Broncos,DEN 20 - TEN 12,12,20,Broncos,Titans,8.5,20,12,8,True,1
49ers @ Seahawks,SF 17 - SEA 13,17,13,49ers,Seahawks,1.5,17,13,4,False,1
Lions @ Packers,GB 27 - DET 13,13,27,Packers,Lions,1.5,27,13,14,False,1
Texans @ Rams,LAR 14 - HOU 9,9,14,Rams,Texans,3.0,14,9,5,False,1
Ravens @ Bills,BUF 41 - BAL 40,40,41,Bills,Ravens,1.5,41,40,1,True,1
Vikings @ Bears,MIN 27 - CHI 24,27,24,Bears,Vikings,1.5,24,27,-3,True,1
Commanders @ Packers,GB 27 - WSH 18,18,27,Packers,Commanders,3.5,27,18,9,False,2
Jaguars @ Bengals,CIN 31 - JAX 27,27,31,Bengals,Jaguars,3.5,31,27,4,False,2
Giants @ Cowboys,DAL 40 - NYG 37,37,40,Cowboys,Giants,6.5,40,37,3,True,2
Bears @ Lions,DET 52 - CHI 21,21,52,Lions,Bears,5.5,52,21,31,False,2
Rams @ Titans,LAR 33 - TEN 19,33,19,Rams,Titans,3.0,33,19,14,False,2
Patriots @ Dolphins,NE 33 - MIA 27,33,27,Dolphins,Patriots,1.5,27,33,-6,True,2
49ers @ Saints,SF 26 - NO 21,26,21,49ers,Saints,1.5,26,21,5,False,2
Bills @ Jets,BUF 30 - NYJ 10,30,10,Bills,Jets,1.5,30,10,20,False,2
Seahawks @ Steelers,SEA 31 - PIT 17,31,17,Steelers,Seahawks,3.0,17,31,-14,True,2
Browns @ Ravens,BAL 41 - CLE 17,17,41,Ravens,Browns,11.5,41,17,24,False,2
Broncos @ Colts,IND 29 - DEN 28,28,29,Colts,Broncos,3.5,29,28,1,True,2
Panthers @ Cardinals,ARI 27 - CAR 22,22,27,Cardinals,Panthers,3.5,27,22,5,False,2
Eagles @ Chiefs,PHI 20 - KC 17,20,17,Eagles,Chiefs,7.5,20,17,3,True,2
Falcons @ Vikings,ATL 22 - MIN 6,22,6,Vikings,Falcons,1.5,6,22,-16,True,2
Buccaneers @ Texans,TB 20 - HOU 19,20,19,Buccaneers,Texans,1.5,20,19,1,True,2
Chargers @ Raiders,LAC 20 - LV 9,20,9,Chargers,Raiders,3.0,20,9,11,False,2
Dolphins @ Bills,BUF 31 - MIA 21,21,31,Bills,Dolphins,12.5,31,21,10,True,3
Packers @ Browns,CLE 13 - GB 10,10,13,Packers,Browns,8.5,10,13,-3,True,3
Colts @ Titans,IND 41 - TEN 20,41,20,Colts,Titans,3.5,41,20,21,False,3
Bengals @ Vikings,MIN 48 - CIN 10,10,48,Vikings,Bengals,3.0,48,10,38,False,3
Steelers @ Patriots,PIT 21 - NE 14,21,14,Steelers,Patriots,1.5,21,14,7,False,3
Rams @ Eagles,PHI 33 - LAR 26,26,33,Eagles,Rams,3.5,33,26,7,False,3
Jets @ Buccaneers,TB 29 - NYJ 27,27,29,Buccaneers,Jets,7.0,29,27,2,True,3
Raiders @ Commanders,WSH 41 - LV 24,24,41,Commanders,Raiders,3.5,41,24,17,False,3
Falcons @ Panthers,CAR 30 - ATL 0,0,30,Falcons,Panthers,5.5,0,30,-30,True,3
Texans @ Jaguars,JAX 17 - HOU 10,10,17,Jaguars,Texans,1.5,17,10,7,False,3
Broncos @ Chargers,LAC 23 - DEN 20,20,23,Chargers,Broncos,2.5,23,20,3,False,3
Saints @ Seahawks,SEA 44 - NO 13,13,44,Seahawks,Saints,7.5,44,13,31,False,3
Cowboys @ Bears,CHI 31 - DAL 14,14,31,Bears,Cowboys,1.5,31,14,17,False,3
Cardinals @ 49ers,SF 16 - ARI 15,15,16,49ers,Cardinals,1.5,16,15,1,True,3
Chiefs @ Giants,KC 22 - NYG 9,22,9,Chiefs,Giants,6.5,22,9,13,False,3
Lions @ Ravens,DET 38 - BAL 30,38,30,Ravens,Lions,5.5,30,38,-8,True,3
