week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,fav_matchup_epa,dog_matchup_epa,matchup_epa_diff,fav_net_epa,dog_net_epa,net_epa_diff,epa_bin
1,Chiefs @ Chargers,Chiefs,Chargers,3.0,-6,-9.0,True,False,0.17,-0.06,0.03,-0.01,0.16,-0.03,0.19,0.23,0.04,0.19,Medium
1,Buccaneers @ Falcons,Buccaneers,Falcons,1.5,3,1.5,False,True,0.02,-0.08,-0.06,-0.02,0.0,-0.14,0.14,0.1,-0.0399999999999999,0.1399999999999999,Medium
1,Bengals @ Browns,Bengals,Browns,5.5,1,-4.5,True,False,-0.05,0.17,-0.18,-0.07,-0.12000000000000001,-0.009999999999999981,-0.11000000000000003,-0.22,-0.1099999999999999,-0.1100000000000001,Very Low
1,Dolphins @ Colts,Colts,Dolphins,1.5,25,23.5,False,True,0.23,-0.03,-0.01,0.11,0.34,-0.04,0.38,0.26,-0.12,0.38,High
1,Raiders @ Patriots,Patriots,Raiders,2.5,-7,-9.5,True,False,0.09,-0.04,-0.18,0.04,0.13,-0.22,0.35,0.13,-0.22,0.35,High
1,Steelers @ Jets,Steelers,Jets,3.0,2,-1.0,True,False,0.05,0.07,-0.05,0.09,0.14,0.020000000000000004,0.12000000000000001,-0.02,-0.14,0.12000000000000001,Medium
1,Panthers @ Jaguars,Jaguars,Panthers,4.5,16,11.5,False,True,-0.01,-0.04,-0.05,0.06,0.049999999999999996,-0.09,0.13999999999999999,0.03,-0.11,0.14,Medium
1,Titans @ Broncos,Broncos,Titans,8.5,8,-0.5,True,False,0.07,-0.07,-0.21,0.1,0.17,-0.28,0.45000000000000007,0.14,-0.31,0.45,Very High
1,Lions @ Packers,Packers,Lions,1.5,14,12.5,False,True,0.17,-0.02,0.1,-0.1,0.07,0.08,-0.009999999999999995,0.19,0.2,-0.010000000000000009,Low
1,Texans @ Rams,Rams,Texans,3.0,5,2.0,False,True,0.04,-0.1,0.02,-0.13,-0.09,-0.08,-0.009999999999999995,0.14,0.15,-0.009999999999999981,Low
1,Vikings @ Bears,Bears,Vikings,1.5,-3,-4.5,True,False,0.02,0.0,-0.11,-0.04,-0.02,-0.11,0.09,0.02,-0.07,0.09000000000000001,Medium
2,Jaguars @ Bengals,Bengals,Jaguars,3.5,4,0.5,False,True,-0.05,0.17,-0.01,-0.04,-0.09,0.16,-0.25,-0.22,0.03,-0.25,Very Low
2,Giants @ Cowboys,Cowboys,Giants,6.5,3,-3.5,True,False,0.14,0.15,-0.04,0.08,0.22000000000000003,0.10999999999999999,0.11000000000000004,-0.0099999999999999,-0.12,0.1100000000000001,Medium
2,Bears @ Lions,Lions,Bears,5.5,31,25.5,False,True,0.1,-0.1,0.02,0.0,0.1,-0.08,0.18,0.2,0.02,0.18000000000000002,Medium
2,Rams @ Titans,Rams,Titans,3.0,14,11.0,False,True,0.04,-0.1,-0.21,0.1,0.14,-0.31,0.45,0.14,-0.31,0.45,Very High
2,Patriots @ Dolphins,Dolphins,Patriots,1.5,-6,-7.5,True,False,-0.01,0.11,0.09,-0.04,-0.05,0.2,-0.25,-0.12,0.13,-0.25,Very Low
2,49ers @ Saints,49ers,Saints,1.5,5,3.5,False,True,0.0,0.03,-0.14,0.0,0.0,-0.11000000000000001,0.11000000000000001,-0.03,-0.14,0.11000000000000001,Medium
2,Bills @ Jets,Bills,Jets,1.5,20,18.5,False,True,0.16,-0.02,-0.05,0.09,0.25,-0.07,0.32,0.18,-0.14,0.32,High
2,Broncos @ Colts,Colts,Broncos,3.5,1,-2.5,True,False,0.23,-0.03,0.07,-0.07,0.16,0.04000000000000001,0.12,0.26,0.14,0.12,Medium
