week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,fav_matchup_epa,dog_matchup_epa,matchup_epa_diff,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa
1,Cowboys @ Eagles,Eagles,Cowboys,8.5,4,-4.5,0.15,0.13,0.01999999999999999,0.02,-0.02,0.15,0.13
1,Chiefs @ Chargers,Chiefs,Chargers,3.0,-6,-9.0,0.2,-0.03,0.23,0.16,-0.04,0.01,0.04
1,Buccaneers @ Falcons,Buccaneers,Falcons,1.5,3,1.5,-0.010000000000000002,-0.03,0.019999999999999997,0.04,-0.01,-0.02,-0.05
1,Bengals @ Browns,Bengals,Browns,5.5,1,-4.5,-0.18,-0.010000000000000009,-0.16999999999999998,-0.1,0.15,-0.16,-0.08
1,Dolphins @ Colts,Colts,Dolphins,1.5,25,23.5,0.38,-0.07,0.45,0.21,-0.03,-0.04,0.17
1,Raiders @ Patriots,Patriots,Raiders,2.5,-7,-9.5,0.12,-0.13999999999999999,0.26,0.08,0.04,-0.18,0.04
1,Cardinals @ Saints,Cardinals,Saints,6.5,7,0.5,0.01,-0.06,0.06999999999999999,0.0,0.02,-0.08,0.01
1,Steelers @ Jets,Steelers,Jets,3.0,2,-1.0,0.15000000000000002,-0.060000000000000005,0.21000000000000002,0.08,0.04,-0.1,0.07
1,Giants @ Commanders,Commanders,Giants,6.5,15,8.5,0.07,-0.010000000000000002,0.08000000000000002,0.03,0.04,-0.05,0.04
1,Panthers @ Jaguars,Jaguars,Panthers,4.5,16,11.5,0.01,-0.05,0.060000000000000005,-0.01,-0.04,-0.01,0.02
1,Titans @ Broncos,Broncos,Titans,8.5,8,-0.5,0.11000000000000001,-0.33,0.44000000000000006,0.04,-0.1,-0.23,0.07
1,49ers @ Seahawks,49ers,Seahawks,1.5,4,2.5,-0.03,0.0,-0.03,0.01,-0.01,0.01,-0.04
1,Lions @ Packers,Packers,Lions,1.5,14,12.5,0.06,0.12000000000000001,-0.06000000000000001,0.16,0.02,0.1,-0.1
1,Texans @ Rams,Rams,Texans,3.0,5,2.0,-0.1,-0.13,0.03,0.04,-0.1,-0.03,-0.14
1,Ravens @ Bills,Bills,Ravens,1.5,1,-0.5,0.28,0.0,0.28,0.13,0.03,-0.03,0.15
1,Vikings @ Bears,Bears,Vikings,1.5,-3,-4.5,-0.06,-0.12000000000000001,0.06000000000000001,0.02,-0.05,-0.07,-0.08
2,Commanders @ Packers,Packers,Commanders,3.5,9,5.5,0.2,0.05,0.15000000000000002,0.16,0.02,0.03,0.04
2,Jaguars @ Bengals,Bengals,Jaguars,3.5,4,0.5,-0.14,0.13999999999999999,-0.28,-0.1,0.15,-0.01,-0.04
2,Giants @ Cowboys,Cowboys,Giants,6.5,3,-3.5,0.19,0.08,0.11,0.15,0.13,-0.05,0.04
2,Bears @ Lions,Lions,Bears,5.5,31,25.5,0.05,-0.08,0.13,0.1,-0.1,0.02,-0.05
2,Rams @ Titans,Rams,Titans,3.0,14,11.0,0.11000000000000001,-0.33,0.44000000000000006,0.04,-0.1,-0.23,0.07
2,Patriots @ Dolphins,Dolphins,Patriots,1.5,-6,-7.5,0.0,0.25,-0.25,-0.04,0.17,0.08,0.04
2,49ers @ Saints,49ers,Saints,1.5,5,3.5,0.02,-0.09,0.11,0.01,-0.01,-0.08,0.01
2,Bills @ Jets,Bills,Jets,1.5,20,18.5,0.2,-0.07,0.27,0.13,0.03,-0.1,0.07
2,Seahawks @ Steelers,Steelers,Seahawks,3.0,-14,-17.0,0.04,0.05,-0.010000000000000002,0.08,0.04,0.01,-0.04
2,Browns @ Ravens,Ravens,Browns,11.5,24,12.5,-0.11,-0.010000000000000009,-0.09999999999999999,-0.03,0.15,-0.16,-0.08
2,Broncos @ Colts,Colts,Broncos,3.5,1,-2.5,0.10999999999999999,0.010000000000000002,0.09999999999999998,0.21,-0.03,0.04,-0.1
2,Panthers @ Cardinals,Cardinals,Panthers,3.5,5,1.5,0.02,0.01,0.01,0.0,0.02,-0.01,0.02
2,Eagles @ Chiefs,Eagles,Chiefs,7.5,3,-4.5,-0.02,0.14,-0.16,0.02,-0.02,0.16,-0.04
2,Falcons @ Vikings,Vikings,Falcons,1.5,-16,-17.5,-0.12000000000000001,-0.1,-0.020000000000000004,-0.07,-0.08,-0.02,-0.05
2,Buccaneers @ Texans,Buccaneers,Texans,1.5,1,-0.5,-0.1,-0.04,-0.060000000000000005,0.04,-0.01,-0.03,-0.14
2,Chargers @ Raiders,Chargers,Raiders,3.0,11,8.0,0.05,-0.13999999999999999,0.19,0.01,0.04,-0.18,0.04
3,Dolphins @ Bills,Bills,Dolphins,12.5,10,-2.5,0.30000000000000004,-0.010000000000000002,0.31000000000000005,0.13,0.03,-0.04,0.17
3,Packers @ Browns,Packers,Browns,8.5,-3,-11.5,0.08,-0.14,0.22000000000000003,0.16,0.02,-0.16,-0.08
3,Colts @ Titans,Colts,Titans,3.5,21,17.5,0.28,-0.26,0.54,0.21,-0.03,-0.23,0.07
3,Bengals @ Vikings,Vikings,Bengals,3.0,38,35.0,0.07999999999999999,-0.18,0.26,-0.07,-0.08,-0.1,0.15
3,Steelers @ Patriots,Steelers,Patriots,1.5,7,5.5,0.12,0.12,0.0,0.08,0.04,0.08,0.04
3,Rams @ Eagles,Eagles,Rams,3.5,7,3.5,-0.08,0.02,-0.1,0.02,-0.02,0.04,-0.1
3,Jets @ Buccaneers,Buccaneers,Jets,7.0,2,-5.0,0.11000000000000001,-0.11,0.22000000000000003,0.04,-0.01,-0.1,0.07
3,Raiders @ Commanders,Commanders,Raiders,3.5,17,13.5,0.07,-0.13999999999999999,0.21,0.03,0.04,-0.18,0.04
3,Falcons @ Panthers,Falcons,Panthers,5.5,-30,-35.5,0.0,-0.060000000000000005,0.060000000000000005,-0.02,-0.05,-0.01,0.02
3,Texans @ Jaguars,Jaguars,Texans,1.5,7,5.5,-0.15000000000000002,-0.07,-0.08000000000000002,-0.01,-0.04,-0.03,-0.14
3,Broncos @ Chargers,Chargers,Broncos,2.5,3,0.5,-0.09000000000000001,0.08,-0.17,0.01,0.04,0.04,-0.1
3,Saints @ Seahawks,Seahawks,Saints,7.5,31,23.5,0.02,-0.12,0.13999999999999999,0.01,-0.04,-0.08,0.01
3,Cowboys @ Bears,Bears,Cowboys,1.5,17,15.5,0.15,0.09999999999999999,0.05,0.02,-0.05,0.15,0.13
3,Cardinals @ 49ers,49ers,Cardinals,1.5,1,-0.5,0.03,-0.01,0.04,0.01,-0.01,0.0,0.02
3,Chiefs @ Giants,Chiefs,Giants,6.5,13,6.5,0.2,-0.09,0.29000000000000004,0.16,-0.04,-0.05,0.04
3,Lions @ Ravens,Ravens,Lions,5.5,-8,-13.5,-0.13,0.25,-0.38,-0.03,0.15,0.1,-0.1
4,Seahawks @ Cardinals,Seahawks,Cardinals,1.5,3,1.5,0.03,-0.04,0.07,0.01,-0.04,0.0,0.02
4,Vikings @ Steelers,Vikings,Steelers,2.5,-3,-5.5,-0.030000000000000006,0.0,-0.030000000000000006,-0.07,-0.08,0.08,0.04
4,Commanders @ Falcons,Commanders,Falcons,1.5,-7,-8.5,-0.020000000000000004,0.02,-0.04000000000000001,0.03,0.04,-0.02,-0.05
4,Saints @ Bills,Bills,Saints,16.5,12,-4.5,0.14,-0.05,0.19,0.13,0.03,-0.08,0.01
4,Browns @ Lions,Lions,Browns,8.5,24,15.5,0.020000000000000004,-0.26,0.28,0.1,-0.1,-0.16,-0.08
4,Panthers @ Patriots,Patriots,Panthers,5.5,29,23.5,0.1,0.03,0.07,0.08,0.04,-0.01,0.02
4,Chargers @ Giants,Chargers,Giants,6.5,-3,-9.5,0.05,-0.010000000000000002,0.060000000000000005,0.01,0.04,-0.05,0.04
4,Eagles @ Buccaneers,Eagles,Buccaneers,3.5,6,2.5,0.01,0.02,-0.01,0.02,-0.02,0.04,-0.01
4,Titans @ Texans,Texans,Titans,7.0,26,19.0,0.04000000000000001,-0.37,0.41000000000000003,-0.03,-0.14,-0.23,0.07
4,Colts @ Rams,Rams,Colts,3.5,7,3.5,0.010000000000000002,0.10999999999999999,-0.09999999999999998,0.04,-0.1,0.21,-0.03
4,Jaguars @ 49ers,49ers,Jaguars,3.0,-5,-8.0,-0.03,-0.02,-0.009999999999999998,0.01,-0.01,-0.01,-0.04
4,Ravens @ Chiefs,Chiefs,Ravens,2.5,17,14.5,0.31,-0.07,0.38,0.16,-0.04,-0.03,0.15
4,Bears @ Raiders,Raiders,Bears,1.5,-1,-2.5,-0.22999999999999998,0.06,-0.29,-0.18,0.04,0.02,-0.05
4,Jets @ Dolphins,Dolphins,Jets,2.5,6,3.5,0.030000000000000006,0.07,-0.04,-0.04,0.17,-0.1,0.07
4,Bengals @ Broncos,Broncos,Bengals,7.0,25,18.0,0.19,-0.2,0.39,0.04,-0.1,-0.1,0.15
5,49ers @ Rams,Rams,49ers,5.5,-3,-8.5,0.03,-0.09000000000000001,0.12000000000000001,0.04,-0.1,0.01,-0.01
5,Vikings @ Browns,Vikings,Browns,3.5,4,0.5,-0.15000000000000002,-0.24,0.08999999999999997,-0.07,-0.08,-0.16,-0.08
5,Raiders @ Colts,Colts,Raiders,6.5,34,27.5,0.25,-0.21,0.45999999999999996,0.21,-0.03,-0.18,0.04
5,Giants @ Saints,Saints,Giants,1.5,12,10.5,-0.04,-0.04,0.0,-0.08,0.01,-0.05,0.04
5,Cowboys @ Jets,Cowboys,Jets,2.5,15,12.5,0.22,0.03,0.19,0.15,0.13,-0.1,0.07
5,Broncos @ Eagles,Eagles,Broncos,3.5,-4,-7.5,-0.08,0.02,-0.1,0.02,-0.02,0.04,-0.1
5,Dolphins @ Panthers,Dolphins,Panthers,1.5,-3,-4.5,-0.02,0.16,-0.18,-0.04,0.17,-0.01,0.02
5,Texans @ Ravens,Texans,Ravens,2.5,34,31.5,0.12,-0.17,0.29000000000000004,-0.03,-0.14,-0.03,0.15
5,Titans @ Cardinals,Cardinals,Titans,8.5,-1,-9.5,0.07,-0.21000000000000002,0.28,0.0,0.02,-0.23,0.07
5,Buccaneers @ Seahawks,Seahawks,Buccaneers,3.5,-3,-6.5,0.0,0.0,0.0,0.01,-0.04,0.04,-0.01
5,Lions @ Bengals,Lions,Bengals,10.5,13,2.5,0.25,-0.2,0.45,0.1,-0.1,-0.1,0.15
5,Commanders @ Chargers,Chargers,Commanders,2.5,-17,-19.5,0.05,0.07,-0.020000000000000004,0.01,0.04,0.03,0.04
5,Patriots @ Bills,Bills,Patriots,8.0,-3,-11.0,0.17,0.11,0.06000000000000001,0.13,0.03,0.08,0.04
5,Chiefs @ Jaguars,Chiefs,Jaguars,3.5,-3,-6.5,0.12,-0.05,0.16999999999999998,0.16,-0.04,-0.01,-0.04
6,Eagles @ Giants,Eagles,Giants,7.5,-17,-24.5,0.06,-0.07,0.13,0.02,-0.02,-0.05,0.04
6,Broncos @ Jets,Broncos,Jets,7.5,2,-5.5,0.11000000000000001,-0.2,0.31000000000000005,0.04,-0.1,-0.1,0.07
6,Cardinals @ Colts,Colts,Cardinals,6.5,4,-2.5,0.22999999999999998,-0.03,0.26,0.21,-0.03,0.0,0.02
6,Chargers @ Dolphins,Chargers,Dolphins,4.5,2,-2.5,0.18000000000000002,0.0,0.18000000000000002,0.01,0.04,-0.04,0.17
6,Patriots @ Saints,Patriots,Saints,3.5,6,2.5,0.09,-0.04,0.13,0.08,0.04,-0.08,0.01
6,Browns @ Steelers,Steelers,Browns,5.0,14,9.0,0.0,-0.12,0.12,0.08,0.04,-0.16,-0.08
6,Cowboys @ Panthers,Cowboys,Panthers,3.5,-3,-6.5,0.16999999999999998,0.12000000000000001,0.049999999999999975,0.15,0.13,-0.01,0.02
6,Seahawks @ Jaguars,Seahawks,Jaguars,1.5,8,6.5,-0.03,-0.05,0.020000000000000004,0.01,-0.04,-0.01,-0.04
6,Rams @ Ravens,Rams,Ravens,7.5,14,6.5,0.19,-0.13,0.32,0.04,-0.1,-0.03,0.15
6,Titans @ Raiders,Raiders,Titans,4.5,10,5.5,-0.10999999999999999,-0.19,0.08000000000000002,-0.18,0.04,-0.23,0.07
6,Bengals @ Packers,Packers,Bengals,14.5,9,-5.5,0.31,-0.08,0.39,0.16,0.02,-0.1,0.15
6,49ers @ Buccaneers,49ers,Buccaneers,3.0,-11,-14.0,0.0,0.03,-0.03,0.01,-0.01,0.04,-0.01
6,Lions @ Chiefs,Chiefs,Lions,2.5,13,10.5,0.06,0.060000000000000005,-6.938893903907228e-18,0.16,-0.04,0.1,-0.1
6,Bills @ Falcons,Bills,Falcons,4.5,-10,-14.5,0.08,0.009999999999999998,0.07,0.13,0.03,-0.02,-0.05
6,Bears @ Commanders,Commanders,Bears,4.5,-1,-5.5,-0.020000000000000004,0.06,-0.08,0.03,0.04,0.02,-0.05
7,Steelers @ Bengals,Bengals,Steelers,3.5,2,-1.5,-0.060000000000000005,0.22999999999999998,-0.29,-0.1,0.15,0.08,0.04
7,Rams @ Jaguars,Rams,Jaguars,3.5,28,24.5,0.0,-0.11,0.11,0.04,-0.1,-0.01,-0.04
7,Saints @ Bears,Bears,Saints,3.5,12,8.5,0.03,-0.13,0.16,0.02,-0.05,-0.08,0.01
7,Dolphins @ Browns,Browns,Dolphins,3.5,25,21.5,0.010000000000000009,-0.12,0.13,-0.16,-0.08,-0.04,0.17
7,Patriots @ Titans,Patriots,Titans,3.5,18,14.5,0.15000000000000002,-0.19,0.34,0.08,0.04,-0.23,0.07
7,Raiders @ Chiefs,Chiefs,Raiders,7.5,31,23.5,0.2,-0.22,0.42000000000000004,0.16,-0.04,-0.18,0.04
7,Eagles @ Vikings,Eagles,Vikings,3.5,6,2.5,-0.06,-0.09000000000000001,0.030000000000000013,0.02,-0.02,-0.07,-0.08
7,Panthers @ Jets,Jets,Panthers,3.5,-7,-10.5,-0.08,0.060000000000000005,-0.14,-0.1,0.07,-0.01,0.02
7,Giants @ Broncos,Broncos,Giants,3.5,1,-2.5,0.08,-0.15000000000000002,0.23000000000000004,0.04,-0.1,-0.05,0.04
7,Colts @ Chargers,Colts,Chargers,3.5,14,10.5,0.25,-0.019999999999999997,0.27,0.21,-0.03,0.01,0.04
7,Commanders @ Cowboys,Cowboys,Commanders,7.5,22,14.5,0.19,0.16,0.03,0.15,0.13,0.03,0.04
7,Packers @ Cardinals,Packers,Cardinals,3.5,4,0.5,0.18,0.02,0.16,0.16,0.02,0.0,0.02
7,Falcons @ 49ers,49ers,Falcons,7.5,10,2.5,-0.04,-0.03,-0.010000000000000002,0.01,-0.01,-0.02,-0.05
7,Buccaneers @ Lions,Lions,Buccaneers,7.5,15,7.5,0.09000000000000001,-0.060000000000000005,0.15000000000000002,0.1,-0.1,0.04,-0.01
7,Texans @ Seahawks,Seahawks,Texans,3.5,8,4.5,-0.13,-0.07,-0.06,0.01,-0.04,-0.03,-0.14
