week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,matchup_epa_diff,net_epa_diff,fav_off_pass_epa,fav_def_pass_epa,dog_off_pass_epa,dog_def_pass_epa,matchup_pass_epa_diff,fav_off_rush_epa,fav_def_rush_epa,dog_off_rush_epa,dog_def_rush_epa,matchup_rush_epa_diff,matchup_rp_epa_diff,fav_weighted_rp_epa,dog_weighted_rp_epa,corrected_matchup_rp_epa_diff,fav_pass_epa_diff,fav_run_epa_diff,dog_pass_epa_diff,dog_run_epa_diff,fav_run_pct,fav_pass_pct,dog_run_pct,dog_pass_pct
1,Chiefs @ Chargers,Chiefs,Chargers,3.0,-6,-9.0,True,False,0.17,-0.06,0.03,-0.01,0.19,0.19,0.22,-0.09,0.04,0.01,0.28,0.07,0.0,0.01,0.0,0.060000000000000005,0.17,0.14784000000000003,-0.08152,0.22936,0.11676000000000002,0.031080000000000003,-0.07748,-0.00404,0.444,0.556,0.40399999999999997,0.596
1,Buccaneers @ Falcons,Buccaneers,Falcons,1.5,3,1.5,False,True,0.02,-0.08,-0.06,-0.02,0.14,0.1399999999999999,0.05,-0.06,-0.07,-0.07,0.11,-0.03,-0.1,-0.05,0.03,0.15000000000000002,0.13,0.04242,-0.017420000000000005,0.059840000000000004,0.06828,-0.025859999999999998,0.005429999999999997,-0.022850000000000002,0.431,0.569,0.457,0.5429999999999999
1,Bengals @ Browns,Bengals,Browns,5.5,1,-4.5,True,False,-0.05,0.17,-0.18,-0.07,-0.11000000000000003,-0.1100000000000001,-0.1,0.24,-0.27,0.03,-0.03999999999999998,0.05,0.07,-0.02,-0.2,-0.2,-0.12,0.002999999999999989,0.34787999999999997,-0.34487999999999996,-0.0845,0.0875,0.31314,0.03474,0.35,0.65,0.386,0.614
1,Dolphins @ Colts,Colts,Dolphins,1.5,25,23.5,False,True,0.23,-0.03,-0.01,0.11,0.38,0.38,0.27,-0.04,-0.02,0.17,0.5,0.16,-0.02,0.0,0.04,0.22,0.36,0.10926,-0.02,0.12925999999999999,0.0537,0.05556,-0.0117,-0.0083,0.46299999999999997,0.537,0.415,0.585
1,Raiders @ Patriots,Patriots,Raiders,2.5,-7,-9.5,True,False,0.09,-0.04,-0.18,0.04,0.35,0.35,0.26,0.0,-0.12,0.15,0.53,-0.13,-0.11,-0.26,-0.13,0.10999999999999999,0.32,0.054889999999999994,0.13365,-0.07876,0.054889999999999994,0.0,0.0654,0.06825,0.501,0.499,0.455,0.545
1,Cardinals @ Saints,Cardinals,Saints,6.5,7,0.5,False,True,0.0,0.02,-0.14,0.0,0.12000000000000001,0.12000000000000001,0.0,0.07,-0.17,0.09,0.19,0.0,-0.08,-0.08,-0.11,0.05,0.12,-0.005999999999999998,0.14256,-0.14856,-0.052199999999999996,0.0462,0.14256,0.0,0.42,0.58,0.406,0.594
1,Steelers @ Jets,Steelers,Jets,3.0,2,-1.0,True,False,0.05,0.07,-0.05,0.09,0.12000000000000001,0.12000000000000001,0.09,0.13,-0.04,0.16,0.16,-0.01,-0.02,-0.05,0.02,0.08,0.12,-0.0526,0.10238000000000001,-0.15498,-0.03955,-0.013049999999999999,0.08789000000000001,0.014490000000000001,0.435,0.565,0.483,0.517
1,Giants @ Commanders,Commanders,Giants,6.5,15,8.5,False,True,0.0,0.07,-0.04,0.08,0.049999999999999996,0.04999999999999999,0.0,0.13,-0.05,0.03,-0.05,0.0,-0.01,-0.02,0.16,0.19,0.07,-0.09175,0.09840000000000002,-0.19015,-0.01575,-0.076,0.09360000000000002,0.0048,0.475,0.525,0.48,0.52
1,Panthers @ Jaguars,Jaguars,Panthers,4.5,16,11.5,False,True,-0.01,-0.04,-0.05,0.06,0.13999999999999999,0.14,-0.04,-0.02,-0.1,0.1,0.18000000000000002,0.05,-0.06,0.01,0.0,0.1,0.14,-0.06229,0.008750000000000008,-0.07104,-0.08274,0.02045,0.042,-0.033249999999999995,0.409,0.591,0.475,0.525
1,Titans @ Broncos,Broncos,Titans,8.5,8,-0.5,True,False,0.07,-0.07,-0.21,0.1,0.45000000000000007,0.45,0.09,-0.08,-0.26,0.18,0.6100000000000001,0.05,-0.06,-0.11,0.01,0.22999999999999998,0.42000000000000004,-0.03331999999999999,0.13138000000000002,-0.1647,-0.05075999999999999,0.01744,0.11268000000000002,0.018700000000000005,0.436,0.564,0.374,0.626
