Week,Total_Games,Model_A_Correct,Model_A_Accuracy,Model_B_Correct,Model_B_Accuracy,Model_C_Correct,Model_C_Accuracy,Model_D_Correct,Model_D_Accuracy,Model_E_Correct,Model_E_Accuracy,Consensus_Correct,Consensus_Accuracy
1,16,12,75.0%,12,75.0%,9,56.2%,8,50.0%,8.0,50.0%,8.0,50.0%
2,16,8,50.0%,12,75.0%,8,50.0%,3,18.8%,,N/A,,N/A
3,16,5,31.2%,5,31.2%,11,68.8%,7,43.8%,,N/A,,N/A
4,16,5,31.2%,6,37.5%,9,56.2%,7,43.8%,,N/A,,N/A
5,14,10,71.4%,10,71.4%,7,50.0%,8,57.1%,,N/A,,N/A
6,15,6,40.0%,9,60.0%,4,26.7%,11,73.3%,,N/A,,N/A
7,15,9,60.0%,6,40.0%,12,80.0%,7,46.7%,,N/A,12.0,80.0%
8,13,9,69.2%,8,61.5%,7,53.8%,3,23.1%,5.0,38.5%,5.0,38.5%
9,13,6,46.2%,5,38.5%,6,46.2%,6,46.2%,7.0,53.8%,7.0,53.8%
TOTAL,134,70,52.2%,73,54.5%,73,54.5%,60,44.8%,20.0,47.6%,32.0,56.1%
