team,epa_off_per_play,total_epa_off,success_rate_off,epa_pass_off,epa_rush_off,source_off,epa_def_allowed_per_play,total_epa_def_allowed,success_rate_def,epa_pass_def_allowed,epa_rush_def_allowed,source_def,team_name,net_epa_per_play,net_epa_pass,net_epa_rush,last_updated,source
ARI,0.0,-2.51,0.4277,0.03,-0.06,sumersports_offensive_latest,0.02,11.88,0.4679,0.07,-0.05,sumersports_defensive_latest,Cardinals,-0.02,-0.04000000000000001,-0.009999999999999995,2025-11-19 21:38:36.211288,sumersports_latest_combined
ATL,-0.03,-20.0,0.43700000000000006,-0.04,-0.02,sumersports_offensive_latest,0.02,14.56,0.45409999999999995,0.0,0.05,sumersports_defensive_latest,Falcons,-0.05,-0.04,-0.07,2025-11-19 21:38:36.211288,sumersports_latest_combined
BAL,0.01,3.08,0.44170000000000004,-0.02,0.04,sumersports_offensive_latest,0.03,16.84,0.447,0.04,0.0,sumersports_defensive_latest,Ravens,-0.019999999999999997,-0.06,0.04,2025-11-19 21:38:36.211288,sumersports_latest_combined
BUF,0.15,94.75,0.4839,0.2,0.09,sumersports_offensive_latest,0.02,13.34,0.42590000000000006,-0.05,0.11,sumersports_defensive_latest,Bills,0.13,0.25,-0.020000000000000004,2025-11-19 21:38:36.211288,sumersports_latest_combined
CAR,-0.05,-32.18,0.4374,-0.07,-0.01,sumersports_offensive_latest,0.07,44.18,0.4194,0.14,-0.03,sumersports_defensive_latest,Panthers,-0.12000000000000001,-0.21000000000000002,0.019999999999999997,2025-11-19 21:38:36.211288,sumersports_latest_combined
CHI,0.06,41.01,0.4515,0.08,0.03,sumersports_offensive_latest,0.0,-2.02,0.45659999999999995,0.01,-0.02,sumersports_defensive_latest,Bears,0.06,0.07,0.05,2025-11-19 21:38:36.211288,sumersports_latest_combined
CIN,-0.04,-23.94,0.43270000000000003,-0.08,0.05,sumersports_offensive_latest,0.21,135.62,0.5045000000000001,0.27,0.11,sumersports_defensive_latest,Bengals,-0.25,-0.35000000000000003,-0.06,2025-11-19 21:38:36.211288,sumersports_latest_combined
CLE,-0.19,-120.17,0.3333,-0.28,-0.03,sumersports_offensive_latest,-0.09,-52.81,0.3757,-0.05,-0.14,sumersports_defensive_latest,Browns,-0.1,-0.23000000000000004,0.11000000000000001,2025-11-19 21:38:36.211288,sumersports_latest_combined
DAL,0.1,67.27,0.4682,0.17,0.0,sumersports_offensive_latest,0.12,75.48,0.486,0.13,0.09,sumersports_defensive_latest,Cowboys,-0.01999999999999999,0.04000000000000001,-0.09,2025-11-19 21:38:36.211288,sumersports_latest_combined
DEN,0.02,14.81,0.4133,0.04,-0.01,sumersports_offensive_latest,-0.1,-67.36,0.3688,-0.1,-0.09,sumersports_defensive_latest,Broncos,0.12000000000000001,0.14,0.08,2025-11-19 21:38:36.211288,sumersports_latest_combined
DET,0.08,52.18,0.45770000000000005,0.19,-0.04,sumersports_offensive_latest,-0.08,-48.13,0.39659999999999995,-0.07,-0.09,sumersports_defensive_latest,Lions,0.16,0.26,0.049999999999999996,2025-11-19 21:38:36.211288,sumersports_latest_combined
GB,0.16,49.7,0.4839,0.03,0.128,sumersports_detailed_offensive,0.02,4.81,0.4241,-0.06,0.016,sumersports_detailed_defensive,Packers,0.14,0.09,0.112,2025-10-15 23:54:16.194054,sumersports_detailed_combined
HOU,0.0,-1.28,0.41490000000000005,0.03,-0.05,sumersports_offensive_latest,-0.14,-77.72,0.38049999999999995,-0.18,-0.06,sumersports_defensive_latest,Texans,0.14,0.21,0.009999999999999995,2025-11-19 21:38:36.211288,sumersports_latest_combined
IND,0.18,110.21,0.5073,0.15,0.2,sumersports_offensive_latest,-0.05,-29.84,0.45409999999999995,-0.06,-0.01,sumersports_defensive_latest,Colts,0.22999999999999998,0.21,0.21000000000000002,2025-11-19 21:38:36.211288,sumersports_latest_combined
JAX,0.0,2.33,0.44920000000000004,-0.04,0.06,sumersports_offensive_latest,-0.04,-24.57,0.4359,-0.04,-0.04,sumersports_defensive_latest,Jaguars,0.04,0.0,0.1,2025-11-19 21:38:36.211288,sumersports_latest_combined
KC,0.14,92.48,0.4797,0.17,0.08,sumersports_offensive_latest,-0.02,-9.62,0.4489,-0.03,0.01,sumersports_defensive_latest,Chiefs,0.16,0.2,0.07,2025-11-19 21:38:36.211288,sumersports_latest_combined
LA,0.08,48.76,0.4864,0.2,-0.08,sumersports_offensive_latest,-0.1,-64.64,0.4316,-0.09,-0.1,sumersports_defensive_latest,Rams,0.18,0.29000000000000004,0.020000000000000004,2025-11-19 21:38:36.211288,sumersports_latest_combined
