team,epa_off_per_play,total_epa_off,success_rate_off,epa_pass_off,epa_rush_off,pass_yards,comp_pct,pass_td,rush_yards,rush_td,adot,sack_pct_off,scramble_pct_off,int_pct_off,last_updated_off,source_off,epa_def_allowed_per_play,total_epa_def_allowed,success_rate_def,epa_pass_def_allowed,epa_rush_def_allowed,pass_yards_allowed,comp_pct_allowed,pass_td_allowed,rush_yards_allowed,rush_td_allowed,adot_allowed,sack_pct_def,scramble_pct_def,int_pct_def,last_updated_def,source_def,team_name,net_epa_per_play,net_epa_pass,net_epa_rush,last_updated,source
ARI,0.02,5.78,0.4545,0.09,-0.13,1838.0,66.8,10.0,493.0,1.0,7.75,4.98,2.68,2.68,2025-10-17 16:58:59.611263,sumersports_offensive_current,0.0,0.97,0.4582,0.06,-0.06,1520,63.29,8,684,3,8.34,6.68,4.17,1.97,2025-10-17 16:58:59.613301,sumersports_defensive_current,Cardinals,0.02,0.03,-0.07,2025-10-17 16:58:59.620443,sumersports_combined_current
ATL,-0.01,-2.84,0.4364,-0.02,0.01,1197.0,62.8,4.0,756.0,6.0,7.65,3.89,5.0,1.67,2025-10-17 16:58:59.611263,sumersports_offensive_current,-0.07,-17.66,0.4351,-0.15,0.04,782,57.69,7,570,2,10.34,8.86,8.86,3.16,2025-10-17 16:58:59.613301,sumersports_defensive_current,Falcons,0.060000000000000005,0.13,-0.03,2025-10-17 16:58:59.620443,sumersports_combined_current
BAL,-0.03,-11.18,0.4277,-0.04,-0.02,1240.0,68.71,10.0,757.0,6.0,8.03,10.31,5.67,2.58,2025-10-17 16:58:59.611263,sumersports_offensive_current,0.15,58.62,0.4864,0.19,0.08,1532,68.52,14,806,9,8.19,3.39,5.08,0.42,2025-10-17 16:58:59.613301,sumersports_defensive_current,Ravens,-0.18,-0.23,-0.1,2025-10-17 16:58:59.620443,sumersports_combined_current
BUF,0.13,49.36,0.4841,0.15,0.09,1429.0,68.33,11.0,906.0,9.0,8.08,5.53,11.52,1.84,2025-10-17 16:58:59.611263,sumersports_offensive_current,0.03,11.14,0.43729999999999997,-0.02,0.09,1087,64.24,7,938,9,7.12,7.73,7.22,1.03,2025-10-17 16:58:59.613301,sumersports_defensive_current,Bills,0.1,0.16999999999999998,0.0,2025-10-17 16:58:59.620443,sumersports_combined_current
CAR,0.0,1.58,0.46509999999999996,-0.06,0.08,1208.0,62.44,11.0,856.0,3.0,7.19,4.44,4.44,2.22,2025-10-17 16:58:59.611263,sumersports_offensive_current,0.07,23.52,0.4018,0.16,-0.07,1319,66.84,10,567,5,7.31,2.46,5.42,1.97,2025-10-17 16:58:59.613301,sumersports_defensive_current,Panthers,-0.07,-0.22,0.15000000000000002,2025-10-17 16:58:59.620443,sumersports_combined_current
CHI,,,,,,,,,,,,,,,,,-0.01,-2.87,0.479,-0.01,-0.07,1097,73.57,13,782,4,7.12,5.06,6.33,5.06,2025-10-17 16:58:59.613301,sumersports_defensive_current,Bears,,,,2025-10-17 16:58:59.620443,sumersports_combined_current
CIN,-0.1,-39.27,0.419,-0.13,-0.04,1507.0,63.89,13.0,482.0,2.0,7.54,6.52,2.17,2.9,2025-10-17 16:58:59.611263,sumersports_offensive_current,0.12,48.63,0.4925,0.19,0.03,1609,68.47,13,814,8,7.08,4.91,4.46,2.68,2025-10-17 16:58:59.613301,sumersports_defensive_current,Bengals,-0.22,-0.32,-0.07,2025-10-17 16:58:59.620443,sumersports_combined_current
CLE,-0.17,-68.55,0.3514,-0.26,0.02,1245.0,57.83,5.0,544.0,3.0,7.33,6.32,1.12,2.23,2025-10-17 16:58:59.611263,sumersports_offensive_current,0.0,-1.39,0.3994,0.15,-0.19,1192,67.46,12,478,3,7.79,7.33,4.19,1.05,2025-10-17 16:58:59.613301,sumersports_defensive_current,Browns,-0.17,-0.41000000000000003,0.21,2025-10-17 16:58:59.620443,sumersports_combined_current
DAL,0.16,61.78,0.47009999999999996,0.24,0.01,1658.0,71.37,13.0,703.0,7.0,7.4,2.83,2.43,1.62,2025-10-17 16:58:59.611263,sumersports_offensive_current,0.18,72.5,0.5,0.27,0.06,1719,71.84,15,853,6,8.47,4.82,4.82,0.88,2025-10-17 16:58:59.613301,sumersports_defensive_current,Cowboys,-0.01999999999999999,-0.030000000000000027,-0.049999999999999996,2025-10-17 16:58:59.620443,sumersports_combined_current
DEN,0.03,11.07,0.4132,0.07,-0.03,773.0,66.5,8.0,679.0,5.0,6.81,7.47,7.05,1.66,2025-10-17 16:58:59.611263,sumersports_offensive_current,-0.14,-50.17,0.35850000000000004,-0.16,-0.11,1178,57.67,4,534,2,9.9,13.16,3.95,0.44,2025-10-17 16:58:59.613301,sumersports_defensive_current,Broncos,0.17,0.23,0.08,2025-10-17 16:58:59.620443,sumersports_combined_current
DET,0.14,51.78,0.493,0.31,-0.04,1393.0,76.0,15.0,772.0,8.0,7.04,4.81,1.6,1.07,2025-10-17 16:58:59.611263,sumersports_offensive_current,-0.04,-14.59,0.4086,0.03,-0.15,1402,64.89,13,573,5,9.26,8.52,7.17,2.69,2025-10-17 16:58:59.613301,sumersports_defensive_current,Lions,0.18000000000000002,0.28,0.10999999999999999,2025-10-17 16:58:59.620443,sumersports_combined_current
GB,0.16,49.7,0.4839,0.27,0.03,1259.0,70.07,9.0,611.0,6.0,8.9,5.42,6.02,1.2,2025-10-17 16:58:59.611263,sumersports_offensive_current,0.02,4.81,0.4241,0.05,-0.06,1105,67.33,8,365,3,6.84,5.45,2.73,0.91,2025-10-17 16:58:59.613301,sumersports_defensive_current,Packers,0.14,0.22000000000000003,0.09,2025-10-17 16:58:59.620443,sumersports_combined_current
HOU,0.04,11.23,0.41979999999999995,0.04,0.03,1099.0,70.27,8.0,581.0,3.0,7.56,6.9,8.05,1.72,2025-10-17 16:58:59.611263,sumersports_offensive_current,-0.12,-33.02,0.4093,-0.19,-0.01,969,58.82,3,453,5,8.26,7.02,3.51,2.92,2025-10-17 16:58:59.613301,sumersports_defensive_current,Texans,0.16,0.23,0.04,2025-10-17 16:58:59.620443,sumersports_combined_current
IND,0.18,66.07,0.5069,0.24,0.11,1511.0,71.04,8.0,791.0,13.0,8.24,2.53,5.05,1.52,2025-10-17 16:58:59.611263,sumersports_offensive_current,-0.05,-18.56,0.4703,-0.05,-0.05,1494,65.91,10,578,3,7.35,6.5,4.07,2.85,2025-10-17 16:58:59.613301,sumersports_defensive_current,Colts,0.22999999999999998,0.29,0.16,2025-10-17 16:58:59.620443,sumersports_combined_current
JAX,,,,,,,,,,,,,,,,,-0.07,-24.13,0.42469999999999997,-0.06,-0.06,1597,61.61,10,549,4,9.28,3.25,5.69,4.07,2025-10-17 16:58:59.613301,sumersports_defensive_current,Jaguars,,,,2025-10-17 16:58:59.620443,sumersports_combined_current
KC,0.15,55.56,0.4907,0.16,0.1,1514.0,64.79,11.0,712.0,7.0,8.36,4.0,10.8,0.8,2025-10-17 16:58:59.611263,sumersports_offensive_current,0.01,3.84,0.46630000000000005,-0.03,0.07,1202,69.71,7,715,6,7.6,6.67,10.0,1.9,2025-10-17 16:58:59.613301,sumersports_defensive_current,Chiefs,0.13999999999999999,0.19,0.03,2025-10-17 16:58:59.620443,sumersports_combined_current
LA,0.03,11.06,0.48229999999999995,0.16,-0.18,1684.0,66.19,12.0,635.0,4.0,8.56,4.93,0.9,0.9,2025-10-17 16:58:59.611263,sumersports_offensive_current,-0.08,-32.99,0.42210000000000003,-0.1,-0.06,1333,65.87,7,647,2,7.37,8.02,4.22,1.69,2025-10-17 16:58:59.613301,sumersports_defensive_current,Rams,0.11,0.26,-0.12,2025-10-17 16:58:59.620443,sumersports_combined_current
LAC,-0.01,-4.11,0.43189999999999995,-0.01,-0.01,1537.0,67.73,10.0,724.0,2.0,7.6,7.23,4.42,1.61,2025-10-17 16:58:59.611263,sumersports_offensive_current,-0.02,-6.46,0.4131,-0.06,0.05,1154,60.43,5,745,7,7.92,7.08,10.18,2.65,2025-10-17 16:58:59.613301,sumersports_defensive_current,Chargers,0.01,0.049999999999999996,-0.060000000000000005,2025-10-17 16:58:59.620443,sumersports_combined_current
LV,-0.14,-50.69,0.4132,-0.08,-0.21,1350.0,66.13,7.0,631.0,3.0,7.39,8.57,2.86,4.76,2025-10-17 16:58:59.611263,sumersports_offensive_current,0.0,-1.06,0.43700000000000006,0.09,-0.14,1391,66.17,8,572,8,7.96,6.28,3.59,1.35,2025-10-17 16:58:59.613301,sumersports_defensive_current,Raiders,-0.14,-0.16999999999999998,-0.06999999999999998,2025-10-17 16:58:59.620443,sumersports_combined_current
MIA,0.05,16.28,0.41609999999999997,0.07,0.02,1253.0,69.63,11.0,548.0,4.0,7.15,6.13,3.77,3.3,2025-10-17 16:58:59.611263,sumersports_offensive_current,0.21,75.94,0.5082,0.25,0.14,1403,74.86,11,1011,6,6.49,5.91,7.88,0.49,2025-10-17 16:58:59.613301,sumersports_defensive_current,Dolphins,-0.15999999999999998,-0.18,-0.12000000000000001,2025-10-17 16:58:59.620443,sumersports_combined_current
MIN,-0.06,-18.57,0.451,-0.05,-0.09,1121.0,65.75,8.0,534.0,4.0,8.11,11.8,6.18,2.81,2025-10-17 16:58:59.611263,sumersports_offensive_current,-0.14,-40.89,0.4094,-0.31,0.05,875,65.22,5,661,4,5.96,8.13,5.63,1.25,2025-10-17 16:58:59.613301,sumersports_defensive_current,Vikings,0.08000000000000002,0.26,-0.14,2025-10-17 16:58:59.620443,sumersports_combined_current
NE,0.08,28.92,0.44659999999999994,0.26,-0.17,1522.0,72.78,10.0,549.0,6.0,7.76,8.29,8.76,0.92,2025-10-17 16:58:59.611263,sumersports_offensive_current,0.04,12.71,0.47350000000000003,0.15,-0.13,1504,71.98,9,501,3,7.89,6.28,5.8,1.93,2025-10-17 16:58:59.613301,sumersports_defensive_current,Patriots,0.04,0.11000000000000001,-0.04000000000000001,2025-10-17 16:58:59.620443,sumersports_combined_current
NO,-0.05,-21.07,0.4349,-0.07,-0.03,1236.0,67.63,6.0,657.0,3.0,7.67,4.8,4.8,0.87,2025-10-17 16:58:59.611263,sumersports_offensive_current,0.01,3.8,0.4484,0.12,-0.11,1347,69.49,14,684,4,8.25,6.31,7.77,1.46,2025-10-17 16:58:59.613301,sumersports_defensive_current,Saints,-0.060000000000000005,-0.19,0.08,2025-10-17 16:58:59.620443,sumersports_combined_current
