team,team_name,epa_off_per_play,epa_pass_off,epa_rush_off,total_epa_off,success_rate_off,source_off,epa_def_allowed_per_play,epa_pass_def_allowed,epa_rush_def_allowed,total_epa_def_allowed,success_rate_def,source_def,net_epa_per_play,net_epa_pass,net_epa_rush,last_updated,source
ARI,Cardinals,0.0,0.06,-0.06,0.97,0.4582,sumersports_offensive_manual,0.0,0.06,-0.06,0.97,0.4582,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
ATL,Falcons,-0.07,-0.15,0.04,-17.66,0.4351,sumersports_offensive_manual,-0.07,-0.15,0.04,-17.66,0.4351,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
BAL,Ravens,0.15,0.19,0.08,58.62,0.4864,sumersports_offensive_manual,0.15,0.19,0.08,58.62,0.4864,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
BUF,Bills,0.03,-0.02,0.09,11.14,0.4372999999999999,sumersports_offensive_manual,0.03,-0.02,0.09,11.14,0.4372999999999999,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
CAR,Panthers,0.07,0.16,-0.07,23.52,0.4018,sumersports_offensive_manual,0.07,0.16,-0.07,23.52,0.4018,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
CHI,Bears,-0.01,0.05,-0.07,-2.87,0.479,sumersports_offensive_manual,-0.01,-0.01,-0.07,-2.87,0.479,sumersports_defensive_correct,0.0,0.060000000000000005,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
CIN,Bengals,0.12,0.19,0.03,48.63,0.4925,sumersports_offensive_manual,0.12,0.19,0.03,48.63,0.4925,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
CLE,Browns,0.0,0.15,-0.19,-1.39,0.3994,sumersports_offensive_manual,0.0,0.15,-0.19,-1.39,0.3994,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
DAL,Cowboys,0.18,0.27,0.06,72.5,0.5,sumersports_offensive_manual,0.18,0.27,0.06,72.5,0.5,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
DEN,Broncos,-0.14,-0.16,-0.11,-50.17,0.3585,sumersports_offensive_manual,-0.14,-0.16,-0.11,-50.17,0.3585,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
DET,Lions,-0.04,0.03,-0.15,-14.59,0.4086,sumersports_offensive_manual,-0.04,0.03,-0.15,-14.59,0.4086,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
