team,epa_def_allowed_per_play,total_epa_def_allowed,success_rate_def,epa_pass_def_allowed,epa_rush_def_allowed,pass_yards_allowed,comp_pct_allowed,pass_td_allowed,rush_yards_allowed,rush_td_allowed,adot_allowed,sack_pct,scramble_pct,int_pct,team_name,last_updated,source
DEN,-0.14,-50.17,0.35850000000000004,-0.16,-0.11,1178,57.67,4,534,2,9.9,13.16,3.95,0.44,Broncos,2025-10-16 12:45:38.447592,sumersports_defensive_manual
MIN,-0.14,-40.89,0.4094,-0.31,0.05,875,65.22,5,661,4,5.96,8.13,5.63,1.25,Vikings,2025-10-16 12:45:38.447592,sumersports_defensive_manual
HOU,-0.12,-33.02,0.4093,-0.19,-0.01,969,58.82,3,453,5,8.26,7.02,3.51,2.92,Texans,2025-10-16 12:45:38.447592,sumersports_defensive_manual
LA,-0.08,-32.99,0.42210000000000003,-0.1,-0.06,1333,65.87,7,647,2,7.37,8.02,4.22,1.69,Rams,2025-10-16 12:45:38.447592,sumersports_defensive_manual
ATL,-0.07,-17.66,0.4351,-0.15,0.04,782,57.69,7,570,2,10.34,8.86,8.86,3.16,Falcons,2025-10-16 12:45:38.447592,sumersports_defensive_manual
JAX,-0.07,-24.13,0.42469999999999997,-0.06,-0.06,1597,61.61,10,549,4,9.28,3.25,5.69,4.07,Jaguars,2025-10-16 12:45:38.447592,sumersports_defensive_manual
IND,-0.05,-18.56,0.4703,-0.05,-0.05,1494,65.91,10,578,3,7.35,6.5,4.07,2.85,Colts,2025-10-16 12:45:38.447592,sumersports_defensive_manual
DET,-0.04,-14.59,0.4086,0.03,-0.15,1402,64.89,13,573,5,9.26,8.52,7.17,2.69,Lions,2025-10-16 12:45:38.447592,sumersports_defensive_manual
LAC,-0.02,-6.46,0.4131,-0.06,0.05,1154,60.43,5,745,7,7.92,7.08,10.18,2.65,Chargers,2025-10-16 12:45:38.447592,sumersports_defensive_manual
CHI,-0.01,-2.87,0.479,0.05,-0.07,1097,73.57,13,782,4,7.12,5.06,6.33,5.06,Bears,2025-10-16 12:45:38.447592,sumersports_defensive_manual
PHI,-0.01,-3.59,0.44530000000000003,-0.03,0.02,1297,58.91,7,806,8,8.58,3.95,7.46,1.32,Eagles,2025-10-16 12:45:38.447592,sumersports_defensive_manual
PIT,-0.01,-2.81,0.439,0.02,-0.05,1352,65.79,7,553,4,7.17,9.13,4.11,2.28,Steelers,2025-10-16 12:45:38.447592,sumersports_defensive_manual
CLE,0.0,-1.39,0.3994,0.15,-0.19,1192,67.46,12,478,3,7.79,7.33,4.19,1.05,Browns,2025-10-16 12:45:38.447592,sumersports_defensive_manual
LV,0.0,-1.06,0.43700000000000006,0.09,-0.14,1391,66.17,8,572,8,7.96,6.28,3.59,1.35,Raiders,2025-10-16 12:45:38.447592,sumersports_defensive_manual
ARI,0.0,0.97,0.4582,0.06,-0.06,1520,63.29,8,684,3,8.34,6.68,4.17,1.97,Cardinals,2025-10-16 12:45:38.447592,sumersports_defensive_manual
SEA,0.01,2.8,0.4484,0.02,-0.01,1547,68.34,9,535,2,7.89,6.31,4.17,1.97,Seahawks,2025-10-16 12:45:38.447592,sumersports_defensive_manual
SF,0.01,3.8,0.4484,0.02,-0.01,1335,69.16,8,647,2,7.89,6.31,4.17,1.97,49ers,2025-10-16 12:45:38.447592,sumersports_defensive_manual
TB,0.01,3.8,0.4484,0.02,-0.01,1347,67.88,8,647,2,7.89,6.31,4.17,1.97,Buccaneers,2025-10-16 12:45:38.447592,sumersports_defensive_manual
NO,0.01,3.8,0.4484,0.12,-0.11,1347,69.49,14,684,4,8.25,6.31,7.77,1.46,Saints,2025-10-16 12:45:38.447592,sumersports_defensive_manual
KC,0.01,3.84,0.46630000000000005,-0.03,0.07,1202,69.71,7,715,6,7.6,6.67,10.0,1.9,Chiefs,2025-10-16 12:45:38.447592,sumersports_defensive_manual
GB,0.02,4.81,0.4241,0.05,-0.06,1105,67.33,8,365,3,6.84,5.45,2.73,0.91,Packers,2025-10-16 12:45:38.447592,sumersports_defensive_manual
WAS,0.03,11.5,0.4293,0.07,-0.02,1524,63.24,9,730,4,9.17,8.45,4.69,0.94,Commanders,2025-10-16 12:45:38.447592,sumersports_defensive_manual
BUF,0.03,11.14,0.43729999999999997,-0.02,0.09,1087,64.24,7,938,9,7.12,7.73,7.22,1.03,Bills,2025-10-16 12:45:38.447592,sumersports_defensive_manual
NE,0.04,12.71,0.47350000000000003,0.15,-0.13,1504,71.98,9,501,3,7.89,6.28,5.8,1.93,Patriots,2025-10-16 12:45:38.447592,sumersports_defensive_manual
TEN,0.04,13.98,0.4228,0.12,-0.06,1329,70.72,7,802,11,6.28,4.55,4.04,2.02,Titans,2025-10-16 12:45:38.447592,sumersports_defensive_manual
NYG,0.04,15.75,0.4576,0.02,0.07,1548,65.78,7,773,7,8.15,5.24,4.03,1.61,Giants,2025-10-16 12:45:38.447592,sumersports_defensive_manual
CAR,0.07,23.52,0.4018,0.16,-0.07,1319,66.84,10,567,5,7.31,2.46,5.42,1.97,Panthers,2025-10-16 12:45:38.447592,sumersports_defensive_manual
NYJ,0.11,38.24,0.3961,0.21,-0.02,1245,64.71,12,780,5,6.41,4.17,7.29,0.0,Jets,2025-10-16 12:45:38.447592,sumersports_defensive_manual
CIN,0.12,48.63,0.4925,0.19,0.03,1609,68.47,13,814,8,7.08,4.91,4.46,2.68,Bengals,2025-10-16 12:45:38.447592,sumersports_defensive_manual
BAL,0.15,58.62,0.4864,0.19,0.08,1532,68.52,14,806,9,8.19,3.39,5.08,0.42,Ravens,2025-10-16 12:45:38.447592,sumersports_defensive_manual
DAL,0.18,72.5,0.5,0.27,0.06,1719,71.84,15,853,6,8.47,4.82,4.82,0.88,Cowboys,2025-10-16 12:45:38.447592,sumersports_defensive_manual
MIA,0.21,75.94,0.5082,0.25,0.14,1403,74.86,11,1011,6,6.49,5.91,7.88,0.49,Dolphins,2025-10-16 12:45:38.447592,sumersports_defensive_manual
