team,epa_def_allowed_per_play,total_epa_def_allowed,success_rate_def,epa_pass_def_allowed,epa_rush_def_allowed,team_name,last_updated,source
DEN,-0.14,-50.17,0.35850000000000004,-0.16,-0.11,Broncos,2025-10-16 17:35:09.647963,sumersports_defensive_correct
MIN,-0.14,-40.89,0.4094,-0.31,0.05,Vikings,2025-10-16 17:35:09.647963,sumersports_defensive_correct
HOU,-0.12,-33.02,0.4093,-0.19,-0.01,Texans,2025-10-16 17:35:09.647963,sumersports_defensive_correct
LA,-0.08,-32.99,0.42210000000000003,-0.1,-0.06,Rams,2025-10-16 17:35:09.647963,sumersports_defensive_correct
ATL,-0.07,-17.66,0.4351,-0.15,0.04,Falcons,2025-10-16 17:35:09.647963,sumersports_defensive_correct
JAX,-0.07,-24.13,0.42469999999999997,-0.06,-0.06,Jaguars,2025-10-16 17:35:09.647963,sumersports_defensive_correct
IND,-0.05,-18.56,0.4703,-0.05,-0.05,Colts,2025-10-16 17:35:09.647963,sumersports_defensive_correct
DET,-0.04,-14.59,0.4086,0.03,-0.15,Lions,2025-10-16 17:35:09.647963,sumersports_defensive_correct
LAC,-0.02,-6.46,0.4131,-0.06,0.05,Chargers,2025-10-16 17:35:09.647963,sumersports_defensive_correct
CHI,-0.01,-2.87,0.479,-0.01,-0.07,Bears,2025-10-16 17:35:09.647963,sumersports_defensive_correct
PHI,-0.01,-3.59,0.44530000000000003,-0.03,0.02,Eagles,2025-10-16 17:35:09.647963,sumersports_defensive_correct
PIT,-0.01,-2.81,0.439,0.02,-0.05,Steelers,2025-10-16 17:35:09.647963,sumersports_defensive_correct
CLE,0.0,-1.39,0.3994,0.15,-0.19,Browns,2025-10-16 17:35:09.647963,sumersports_defensive_correct
LV,0.0,-1.06,0.43700000000000006,0.09,-0.14,Raiders,2025-10-16 17:35:09.647963,sumersports_defensive_correct
ARI,0.0,0.97,0.4582,0.06,-0.06,Cardinals,2025-10-16 17:35:09.647963,sumersports_defensive_correct
SEA,0.01,2.8,0.4484,0.02,-0.01,Seahawks,2025-10-16 17:35:09.647963,sumersports_defensive_correct
SF,0.01,3.8,0.4484,0.02,-0.01,49ers,2025-10-16 17:35:09.647963,sumersports_defensive_correct
TB,0.01,3.8,0.4484,0.02,-0.01,Buccaneers,2025-10-16 17:35:09.647963,sumersports_defensive_correct
NO,0.01,3.8,0.4484,0.12,-0.11,Saints,2025-10-16 17:35:09.647963,sumersports_defensive_correct
KC,0.01,3.84,0.46630000000000005,-0.03,0.07,Chiefs,2025-10-16 17:35:09.647963,sumersports_defensive_correct
GB,0.02,4.81,0.4241,0.05,-0.06,Packers,2025-10-16 17:35:09.647963,sumersports_defensive_correct
WAS,0.03,11.5,0.4293,0.07,-0.02,Commanders,2025-10-16 17:35:09.647963,sumersports_defensive_correct
BUF,0.03,11.14,0.43729999999999997,-0.02,0.09,Bills,2025-10-16 17:35:09.647963,sumersports_defensive_correct
NE,0.04,12.71,0.47350000000000003,0.15,-0.13,Patriots,2025-10-16 17:35:09.647963,sumersports_defensive_correct
TEN,0.04,13.98,0.4228,0.12,-0.06,Titans,2025-10-16 17:35:09.647963,sumersports_defensive_correct
NYG,0.04,15.75,0.4576,0.02,0.07,Giants,2025-10-16 17:35:09.647963,sumersports_defensive_correct
CAR,0.07,23.52,0.4018,0.16,-0.07,Panthers,2025-10-16 17:35:09.647963,sumersports_defensive_correct
NYJ,0.11,38.24,0.3961,0.21,-0.02,Jets,2025-10-16 17:35:09.647963,sumersports_defensive_correct
CIN,0.12,48.63,0.4925,0.19,0.03,Bengals,2025-10-16 17:35:09.647963,sumersports_defensive_correct
BAL,0.15,58.62,0.4864,0.19,0.08,Ravens,2025-10-16 17:35:09.647963,sumersports_defensive_correct
DAL,0.18,72.5,0.5,0.27,0.06,Cowboys,2025-10-16 17:35:09.647963,sumersports_defensive_correct
MIA,0.21,75.94,0.5082,0.25,0.14,Dolphins,2025-10-16 17:35:09.647963,sumersports_defensive_correct
