team,epa_off_per_play,total_epa_off,success_rate_off,source_off,epa_def_allowed_per_play,total_epa_def_allowed,success_rate_def,source_def,team_name,net_epa_per_play,last_updated,source,epa_off_per_pass,epa_off_per_rush,pass_yards_off,comp_pct_off,pass_td_off,rush_yards_off,rush_td_off,adot_off,sack_pct_off,scramble_pct_off,int_pct_off,epa_def_allowed_per_pass,epa_def_allowed_per_rush,pass_yards_def_allowed,comp_pct_def_allowed,pass_td_def_allowed,rush_yards_def_allowed,rush_td_def_allowed,adot_def_allowed,sack_pct_def,scramble_pct_def_allowed,int_pct_def
IND,0.23,106.86,0.4989,sumersports_offensive_week8,-0.03,-17.4,0.4638,sumersports_defensive_week8,Colts,0.26,2025-10-29 15:54:32,sumersports_combined_week8,0.27,0.16,2071,0.7016,13,1075,18,8.69,0.0333,0.0481,0.0111,-0.04,-0.02,2173,0.6518,14,745,4,7.71,0.0657,0.04,0.0286
GB,0.17,73.74,0.4836,sumersports_offensive_week8,-0.02,-7.0,0.4199,sumersports_defensive_week8,Packers,0.19,2025-10-29 15:54:32,sumersports_combined_week8,0.31,0.01,1798,0.7089,13,799,9,8.01,0.0426,0.0511,0.0085,0.02,-0.08,1798,0.6999,13,799,9,8.01,0.0426,0.0511,0.0085
KC,0.17,88.67,0.4933,sumersports_offensive_week8,-0.06,-25.64,0.435,sumersports_defensive_week8,Chiefs,0.23,2025-10-29 15:54:32,sumersports_combined_week8,0.22,0.07,2099,0.6702,17,1012,9,7.89,0.0424,0.103,0.0121,-0.09,0.0,1490,0.6951,8,800,6,6.93,0.0642,0.0943,0.0226
BUF,0.16,69.99,0.484,sumersports_offensive_week8,-0.02,-9.2,0.4279,sumersports_defensive_week8,Bills,0.18,2025-10-29 15:54:32,sumersports_combined_week8,0.17,0.13,1614,0.6749,12,1151,13,7.88,0.0579,0.1033,0.0165,-0.07,0.04,1262,0.6455,7,1052,10,7.29,0.0969,0.0705,0.0132
DAL,0.14,71.52,0.4641,sumersports_offensive_week8,0.15,80.74,0.4971,sumersports_defensive_week8,Cowboys,-0.009999999999999981,2025-10-29 15:54:32,sumersports_combined_week8,0.21,0.01,2168,0.7023,17,963,10,7.38,0.0311,0.0404,0.0186,0.19,0.1,2185,0.6854,20,1168,10,8.97,0.0507,0.0473,0.0135
DET,0.1,43.96,0.4717,sumersports_offensive_week8,-0.1,-41.33,0.3942,sumersports_defensive_week8,Lions,0.2,2025-10-29 15:54:32,sumersports_combined_week8,0.23,-0.03,1634,0.75,16,936,10,6.84,0.0588,0.0181,0.0136,-0.08,-0.13,1630,0.6303,14,614,5,9.31,0.0833,0.0543,0.0254
NE,0.09,43.98,0.4515,sumersports_offensive_week8,-0.04,-19.33,0.4447,sumersports_defensive_week8,Patriots,0.13,2025-10-29 15:54:32,sumersports_combined_week8,0.26,-0.13,2038,0.75,15,901,7,8.25,0.0976,0.108,0.0105,0.0,-0.11,1915,0.7052,12,608,3,7.51,0.0671,0.0459,0.0247
DEN,0.07,37.43,0.425,sumersports_offensive_week8,-0.07,-36.78,0.3765,sumersports_defensive_week8,Broncos,0.14,2025-10-29 15:54:32,sumersports_combined_week8,0.09,0.05,1803,0.6281,15,1102,10,7.67,0.0259,0.0518,0.0162,-0.08,-0.06,1707,0.5681,8,761,6,9.62,0.1173,0.0456,0.013
PIT,0.05,19.23,0.4349,sumersports_offensive_week8,0.07,35.72,0.453,sumersports_defensive_week8,Steelers,-0.020000000000000004,2025-10-29 15:54:32,sumersports_combined_week8,0.09,-0.01,1501,0.6857,16,660,3,6.48,0.0529,0.022,0.022,0.13,-0.02,2054,0.6752,13,789,5,7.0,0.0721,0.0295,0.0164
LA,0.04,18.07,0.4732,sumersports_offensive_week8,-0.1,-44.84,0.4195,sumersports_defensive_week8,Rams,0.14,2025-10-29 15:54:32,sumersports_combined_week8,0.18,-0.16,1866,0.6584,17,724,4,8.9,0.0428,0.0117,0.0078,-0.12,-0.04,1629,0.625,8,741,2,8.08,0.0884,0.0408,0.0136
LAC,0.03,16.62,0.4487,sumersports_offensive_week8,-0.01,-4.2,0.44,sumersports_defensive_week8,Chargers,0.04,2025-10-29 15:54:32,sumersports_combined_week8,0.04,0.01,2184,0.68,16,985,3,7.82,0.0669,0.061,0.0203,0.01,0.0,2184,0.68,16,985,3,7.82,0.0669,0.061,0.0203
