team,team_name,week,season,last_updated,epa_def_allowed_per_play,epa_off_per_play,epa_pass_def_allowed,epa_pass_off,epa_rush_def_allowed,epa_rush_off,net_epa_per_play,success_rate_def,success_rate_off,total_epa_def_allowed,total_epa_off
LA,Los Angeles Rams,17,2025,2025-12-23 12:29:50,-0.08,0.13,-0.09,0.23,-0.05,0.0,0.21000000000000002,0.41409999999999997,0.5079,-74.65,124.15
BUF,Buffalo Bills,17,2025,2025-12-23 12:29:50,0.01,0.13,-0.1,0.17,0.12,0.09,0.12000000000000001,0.4353,0.47600000000000003,5.61,119.25
HOU,Houston Texans,17,2025,2025-12-23 12:29:50,-0.13,-0.01,-0.19,0.06,-0.04,-0.09,0.12000000000000001,0.384,0.4096,-113.32,-6.97
NE,New England Patriots,17,2025,2025-12-23 12:29:50,-0.02,0.1,-0.02,0.24,-0.02,-0.06,0.12000000000000001,0.4509,0.4557,-16.9,95.85
PHI,Philadelphia Eagles,17,2025,2025-12-23 12:29:50,-0.09,0.03,-0.13,0.08,-0.03,-0.02,0.12,0.4121,0.43060000000000004,-83.15,26.09
DEN,Denver Broncos,17,2025,2025-12-23 12:29:50,-0.06,0.05,-0.06,0.09,-0.06,-0.02,0.11,0.3747,0.4341,-55.59,45.97
JAX,Jacksonville Jaguars,17,2025,2025-12-23 12:29:50,-0.09,0.02,-0.1,0.04,-0.06,-0.01,0.11,0.4181,0.4364,-82.8,18.02
GB,Green Bay Packers,17,2025,2025-12-23 12:29:50,0.01,0.12,0.07,0.25,-0.07,-0.01,0.11,0.43450000000000005,0.47159999999999996,9.12,112.8
DET,Detroit Lions,17,2025,2025-12-23 12:29:50,0.0,0.11,0.03,0.19,-0.04,-0.01,0.11,0.41609999999999997,0.44880000000000003,0.88,98.08
SEA,Seattle Seahawks,17,2025,2025-12-23 12:29:50,-0.09,0.02,-0.05,0.13,-0.14,-0.08,0.11,0.39649999999999996,0.4558,-85.78,21.59
IND,Indianapolis Colts,17,2025,2025-12-23 12:29:50,0.0,0.09,0.04,0.1,-0.07,0.09,0.09,0.4501,0.4727,-3.41,85.32
KC,Kansas City Chiefs,17,2025,2025-12-23 12:29:50,-0.01,0.07,0.03,0.1,-0.04,0.04,0.08,0.4337,0.45659999999999995,-4.68,69.57
LAC,Los Angeles Chargers,17,2025,2025-12-23 12:29:50,-0.07,0.0,-0.08,0.01,-0.07,-0.02,0.07,0.41609999999999997,0.4416,-62.93,-1.47
CHI,Chicago Bears,17,2025,2025-12-23 12:29:50,-0.01,0.06,-0.01,0.07,-0.02,0.06,0.06999999999999999,0.452,0.45189999999999997,-12.87,61.06
SF,San Francisco 49ers,17,2025,2025-12-23 12:29:50,0.05,0.08,0.09,0.18,-0.02,-0.05,0.03,0.4816,0.4763,41.46,73.37
PIT,Pittsburgh Steelers,17,2025,2025-12-23 12:29:50,0.02,0.03,0.03,0.04,0.01,0.02,0.009999999999999998,0.4389,0.4341,20.77,28.7
ATL,Atlanta Falcons,17,2025,2025-12-23 12:29:50,0.0,-0.02,-0.02,-0.01,0.03,-0.03,-0.02,0.4471,0.44,4.63,-16.34
BAL,Baltimore Ravens,17,2025,2025-12-23 12:29:50,0.01,-0.01,0.06,-0.08,-0.07,0.06,-0.02,0.43420000000000003,0.43079999999999996,7.03,-7.25
TB,Tampa Bay Buccaneers,17,2025,2025-12-23 12:29:50,0.01,-0.02,0.06,-0.04,-0.07,0.02,-0.03,0.4499,0.4153,10.02,-14.22
MIN,Minnesota Vikings,17,2025,2025-12-23 12:29:50,-0.07,-0.12,-0.12,-0.18,-0.03,-0.03,-0.04999999999999999,0.41490000000000005,0.42310000000000003,-65.29,-99.4
NO,New Orleans Saints,17,2025,2025-12-23 12:29:50,-0.05,-0.11,-0.02,-0.09,-0.08,-0.14,-0.06,0.4207,0.4165,-48.88,-103.61
ARI,Arizona Cardinals,17,2025,2025-12-23 12:29:50,0.05,-0.02,0.11,0.0,-0.02,-0.06,-0.07,0.4667,0.4343,46.8,-17.22
MIA,Miami Dolphins,17,2025,2025-12-23 12:29:50,0.07,0.0,0.13,0.0,0.0,-0.01,-0.07,0.47009999999999996,0.4174,64.35,-1.71
DAL,Dallas Cowboys,17,2025,2025-12-23 12:29:50,0.16,0.08,0.22,0.17,0.08,-0.04,-0.08,0.48229999999999995,0.4597,147.13,83.19
CAR,Carolina Panthers,17,2025,2025-12-23 12:29:50,0.07,-0.02,0.12,-0.02,0.01,-0.01,-0.09000000000000001,0.43670000000000003,0.4286,62.38,-14.54
CLE,Cleveland Browns,17,2025,2025-12-23 12:29:50,-0.09,-0.19,-0.1,-0.28,-0.09,-0.05,-0.1,0.379,0.3448,-82.19,-177.5
NYG,New York Giants,17,2025,2025-12-23 12:29:50,0.1,-0.02,0.05,-0.03,0.16,0.0,-0.12000000000000001,0.46619999999999995,0.4082,90.92,-15.29
WAS,Washington Commanders,17,2025,2025-12-23 12:29:50,0.14,0.0,0.22,-0.03,0.04,0.02,-0.14,0.4685,0.4515,129.62,-3.62
CIN,Cincinnati Bengals,17,2025,2025-12-23 12:29:50,0.14,-0.03,0.21,-0.04,0.07,-0.01,-0.17,0.483,0.4384,132.47,-27.64
LV,Las Vegas Raiders,17,2025,2025-12-23 12:29:50,0.02,-0.19,0.14,-0.16,-0.1,-0.24,-0.21,0.45299999999999996,0.38299999999999995,23.17,-162.07
NYJ,New York Jets,17,2025,2025-12-23 12:29:50,0.1,-0.12,0.18,-0.17,0.01,-0.06,-0.22,0.42710000000000004,0.40840000000000004,90.04,-110.65
TEN,Tennessee Titans,17,2025,2025-12-23 12:29:50,0.07,-0.15,0.14,-0.2,-0.03,-0.07,-0.22,0.44270000000000004,0.3788,58.68,-130.9
