week,total_games,ab_agree,ab_correct,ab_accuracy,ae_agree,ae_correct,ae_accuracy,be_agree,be_correct,be_accuracy
1,16,16,12,0.75,10,7,0.7,10,7,0.7
2,16,5,4,0.8,3,2,0.6666666666666666,14,10,0.7142857142857143
3,16,12,3,0.25,8,3,0.375,10,4,0.4
4,16,11,4,0.36363636363636365,11,5,0.45454545454545453,12,5,0.4166666666666667
5,14,10,7,0.7,9,5,0.5555555555555556,7,4,0.5714285714285714
6,15,9,5,0.5555555555555556,7,2,0.2857142857142857,7,2,0.2857142857142857
7,15,0,0,,0,0,,10,6,0.6
8,13,10,7,0.7,9,5,0.5555555555555556,8,4,0.5
9,14,10,3,0.3,10,4,0.4,12,4,0.3333333333333333
10,14,7,2,0.2857142857142857,8,4,0.5,5,2,0.4
