week,date,away_team,home_team,final_score,away_score,home_score,passing_leader,passing_yards,rushing_leader,rushing_yards,receiving_leader,receiving_yards
6,Thursday October 9 2025,Eagles,Giants,NYG 34 PHI 17,17,34,Jalen Hurts,283,Cam Skattebo,98,Dallas Goedert,110
6,Sunday October 12 2025,Broncos,Jets,DEN 13 NYJ 11,13,11,Bo Nix,174,Breece Hall,59,Evan Engram,42
6,Sunday October 12 2025,Cardinals,Colts,IND 31 ARI 27,27,31,Jacoby Brissett,320,Jonathan Taylor,123,Zay Jones,79
6,Sunday October 12 2025,Chargers,Dolphins,LAC 29 MIA 27,29,27,Justin Herbert,264,De'Von Achane,128,Ladd McConkey,100
6,Sunday October 12 2025,Patriots,Saints,NE 25 NO 19,25,19,Drake Maye,261,Alvin Kamara,31,Chris Olave,98
6,Sunday October 12 2025,Browns,Steelers,PIT 23 CLE 9,9,23,Aaron Rodgers,235,Jaylen Warren,52,DK Metcalf,95
6,Sunday October 12 2025,Cowboys,Panthers,CAR 30 DAL 27,27,30,Dak Prescott,261,Rico Dowdle,183,George Pickens,168
6,Sunday October 12 2025,Seahawks,Jaguars,SEA 20 JAX 12,20,12,Sam Darnold,295,Kenneth Walker III,34,Jaxon Smith-Njigba,162
6,Sunday October 12 2025,Rams,Ravens,LAR 17 BAL 3,17,3,Matthew Stafford,181,Derrick Henry,122,Zay Flowers,46
6,Sunday October 12 2025,Titans,Raiders,LV 20 TEN 10,10,20,Cam Ward,222,Ashton Jeanty,75,Van Jefferson,75
6,Sunday October 12 2025,Bengals,Packers,GB 27 CIN 18,18,27,Jordan Love,259,Josh Jacobs,93,Ja'Marr Chase,94
6,Sunday October 12 2025,49ers,Buccaneers,TB 30 SF 19,19,30,Mac Jones,347,Rachaad White,65,Kendrick Bourne,142
6,Sunday October 12 2025,Lions,Chiefs,KC 30 DET 17,17,30,Patrick Mahomes,257,Jahmyr Gibbs,65,Travis Kelce,78
6,Monday October 13 2025,Bills,Falcons,ATL 24 BUF 14,14,24,Michael Penix Jr.,250,Bijan Robinson,170,Drake London,158
6,Monday October 13 2025,Bears,Commanders,CHI 25 WSH 24,25,24,Caleb Williams,252,D'Andre Swift,108,D'Andre Swift,67
