week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,actual_cover,fav_matchup_epa,dog_matchup_epa,matchup_epa_diff
3,MIA @ BUF,Bills,Dolphins,12.5,-28,-40.5,Yes,0.30000000000000004,-0.010000000000000002,0.31000000000000005
3,ATL @ CAR,Falcons,Panthers,5.5,-3,-8.5,Yes,0.0,-0.060000000000000005,0.060000000000000005
3,GB @ CLE,Packers,Browns,8.5,-14,-22.5,Yes,0.08,-0.14,0.22000000000000003
3,HOU @ JAX,Jaguars,Texans,1.5,-20,-21.5,No,-0.15000000000000002,-0.07,-0.08000000000000002
3,CIN @ MIN,Vikings,Bengals,3.0,-3,-6.0,No,0.07999999999999999,-0.18,0.26
3,PIT @ NE,Steelers,Patriots,1.5,-3,-4.5,No,0.12,0.12,0.0
3,LA @ PHI,Eagles,Rams,3.5,-6,-9.5,No,-0.08,0.02,-0.1
3,NYJ @ TB,Buccaneers,Jets,7.0,-1,-8.0,Yes,0.11000000000000001,-0.11,0.22000000000000003
3,IND @ TEN,Colts,Titans,3.5,-7,-10.5,No,0.28,-0.26,0.54
3,LV @ WAS,Commanders,Raiders,3.5,-6,-9.5,No,0.07,-0.13999999999999999,0.21
3,DEN @ LAC,Chargers,Broncos,2.5,-7,-9.5,No,-0.09000000000000001,0.08,-0.17
3,NO @ SEA,Seahawks,Saints,7.5,-6,-13.5,No,0.02,-0.12,0.13999999999999999
3,DAL @ CHI,Bears,Cowboys,1.5,-15,-16.5,No,0.15,0.09999999999999999,0.05
3,ARI @ SF,49ers,Cardinals,1.5,-19,-20.5,Yes,0.03,-0.01,0.04
3,KC @ NYG,Chiefs,Giants,6.5,-22,-28.5,No,0.2,-0.09,0.29000000000000004
3,DET @ BAL,Ravens,Lions,5.5,-8,-13.5,Yes,-0.13,0.25,-0.38
