week,game,final_score,away_team,home_team,favorite,underdog,spread_line,favorite_score,underdog_score,margin,underdog_covered,week_type,home_away_status,away_favorite,home_favorite,away_underdog,home_underdog,corrected_category,underdog_category
1,Cowboys @ Eagles,PHI 24 - DAL 20,Cowboys,Eagles,Eagles,Cowboys,8.5,24,20,4,True,1,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
1,Chiefs @ Chargers,LAC 27 - KC 21,Chiefs,Chargers,Chiefs,Chargers,3.0,21,27,-6,True,1,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
1,Buccaneers @ Falcons,TB 23 - ATL 20,Buccaneers,Falcons,Buccaneers,Falcons,1.5,23,20,3,False,1,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
1,Bengals @ Browns,CIN 17 - CLE 16,Bengals,Browns,Bengals,Browns,5.5,17,16,1,True,1,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
1,Dolphins @ Colts,IND 33 - MIA 8,Dolphins,Colts,Colts,Dolphins,1.5,33,8,25,False,1,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
1,Raiders @ Patriots,LV 20 - NE 13,Raiders,Patriots,Patriots,Raiders,2.5,13,20,-7,True,1,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
1,Cardinals @ Saints,ARI 20 - NO 13,Cardinals,Saints,Cardinals,Saints,6.5,20,13,7,False,1,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
1,Steelers @ Jets,PIT 34 - NYJ 32,Steelers,Jets,Steelers,Jets,3.0,34,32,2,True,1,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
1,Giants @ Commanders,WSH 21 - NYG 6,Giants,Commanders,Commanders,Giants,6.5,21,6,15,False,1,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
1,Panthers @ Jaguars,JAX 26 - CAR 10,Panthers,Jaguars,Jaguars,Panthers,4.5,26,10,16,False,1,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
1,Titans @ Broncos,DEN 20 - TEN 12,Titans,Broncos,Broncos,Titans,8.5,20,12,8,True,1,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
1,49ers @ Seahawks,SF 17 - SEA 13,49ers,Seahawks,49ers,Seahawks,1.5,17,13,4,False,1,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
1,Lions @ Packers,GB 27 - DET 13,Lions,Packers,Packers,Lions,1.5,27,13,14,False,1,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
1,Texans @ Rams,LAR 14 - HOU 9,Texans,Rams,Rams,Texans,3.0,14,9,5,False,1,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
1,Ravens @ Bills,BUF 41 - BAL 40,Ravens,Bills,Bills,Ravens,1.5,41,40,1,True,1,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
1,Vikings @ Bears,MIN 27 - CHI 24,Vikings,Bears,Bears,Vikings,1.5,24,27,-3,True,1,Home Underdog,False,True,True,False,Home Favorite,Away Underdog
2,Commanders @ Packers,GB 27 - WSH 18,Commanders,Packers,Packers,Commanders,3.5,27,18,9,False,2,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
2,Jaguars @ Bengals,CIN 31 - JAX 27,Jaguars,Bengals,Bengals,Jaguars,3.5,31,27,4,False,2,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
2,Giants @ Cowboys,DAL 40 - NYG 37,Giants,Cowboys,Cowboys,Giants,6.5,40,37,3,True,2,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
2,Bears @ Lions,DET 52 - CHI 21,Bears,Lions,Lions,Bears,5.5,52,21,31,False,2,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
2,Rams @ Titans,LAR 33 - TEN 19,Rams,Titans,Rams,Titans,3.0,33,19,14,False,2,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
2,Patriots @ Dolphins,NE 33 - MIA 27,Patriots,Dolphins,Dolphins,Patriots,1.5,27,33,-6,True,2,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
2,49ers @ Saints,SF 26 - NO 21,49ers,Saints,49ers,Saints,1.5,26,21,5,False,2,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
2,Bills @ Jets,BUF 30 - NYJ 10,Bills,Jets,Bills,Jets,1.5,30,10,20,False,2,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
