week,date,away_team,home_team,final_score,away_score,home_score,passing_leader,passing_yards,rushing_leader,rushing_yards,receiving_leader,receiving_yards
1,Thursday September 4 2025,Cowboys,Eagles,PHI 24 DAL 20,20,24,Dak Prescott,188,Jalen Hurts,62,CeeDee Lamb,110
1,Friday September 5 2025,Chiefs,Chargers,LAC 27 KC 21,21,27,Justin Herbert,318,Patrick Mahomes,57,Hollywood Brown,99
1,Sunday September 7 2025,Buccaneers,Falcons,TB 23 ATL 20,23,20,Michael Penix Jr.,298,Baker Mayfield,39,Bijan Robinson,100
1,Sunday September 7 2025,Bengals,Browns,CIN 17 CLE 16,17,16,Joe Flacco,290,Chase Brown,43,Jerry Jeudy,66
1,Sunday September 7 2025,Dolphins,Colts,IND 33 MIA 8,8,33,Daniel Jones,272,Jonathan Taylor,71,Michael Pittman Jr.,80
1,Sunday September 7 2025,Raiders,Patriots,LV 20 NE 13,20,13,Geno Smith,362,Ashton Jeanty,38,Kayshon Boutte,103
1,Sunday September 7 2025,Cardinals,Saints,ARI 20 NO 13,20,13,Spencer Rattler,214,Trey Benson,69,Juwan Johnson,76
1,Sunday September 7 2025,Steelers,Jets,PIT 34 NYJ 32,34,32,Aaron Rodgers,244,Breece Hall,107,Garrett Wilson,95
1,Sunday September 7 2025,Giants,Commanders,WSH 21 NYG 6,6,21,Jayden Daniels,233,Jacory Croskey-Merritt,82,Deebo Samuel,77
1,Sunday September 7 2025,Panthers,Jaguars,JAX 26 CAR 10,10,26,Trevor Lawrence,178,Travis Etienne Jr.,143,Tetairoa McMillan,68
1,Sunday September 7 2025,Titans,Broncos,DEN 20 TEN 12,12,20,Bo Nix,176,RJ Harvey,70,Courtland Sutton,61
1,Sunday September 7 2025,49ers,Seahawks,SF 17 SEA 13,17,13,Brock Purdy,277,Christian McCaffrey,69,Jaxon Smith-Njigba,124
1,Sunday September 7 2025,Lions,Packers,GB 27 DET 13,13,27,Jared Goff,225,Josh Jacobs,66,Sam LaPorta,79
1,Sunday September 7 2025,Texans,Rams,LAR 14 HOU 9,9,14,Matthew Stafford,245,Kyren Williams,66,Puka Nacua,130
1,Sunday September 7 2025,Ravens,Bills,BUF 41 BAL 40,40,41,Josh Allen,394,Derrick Henry,169,Zay Flowers,143
1,Monday September 8 2025,Vikings,Bears,MIN 27 CHI 24,27,24,Caleb Williams,210,Jordan Mason,68,DJ Moore,68
