week,date,away_team,home_team,final_score,away_score,home_score,passing_leader,passing_yards,rushing_leader,rushing_yards,receiving_leader,receiving_yards
8,Thursday October 23 2025,Minnesota,Los Angeles,LAC 37 MIN 10,10,37,Justin Herbert,227,Kimani Vidal,117,Ladd McConkey,88
8,Sunday October 26 2025,Miami,Atlanta,MIA 34 ATL 10,34,10,Tua Tagovailoa,205,De'Von Achane,67,Jaylen Waddle,99
8,Sunday October 26 2025,New York,Cincinnati,NYJ 39 CIN 38,39,38,Justin Fields,244,Breece Hall,133,Ja'Marr Chase,91
8,Sunday October 26 2025,Cleveland,New England,NE 32 CLE 13,13,32,Drake Maye,282,TreVeyon Henderson,75,Mack Hollins,89
8,Sunday October 26 2025,New York,Philadelphia,PHI 38 NYG 20,20,38,Jaxson Dart,193,Saquon Barkley,150,DeVonta Smith,84
8,Sunday October 26 2025,Buffalo,Carolina,BUF 40 CAR 9,40,9,Andy Dalton,175,James Cook III,216,Tetairoa McMillan,99
8,Sunday October 26 2025,Chicago,Baltimore,BAL 30 CHI 16,16,30,Caleb Williams,285,Derrick Henry,71,Rome Odunze,114
8,Sunday October 26 2025,San Francisco,Houston,HOU 26 SF 15,15,26,C.J. Stroud,318,Woody Marks,62,Xavier Hutchinson,69
8,Sunday October 26 2025,Tampa Bay,New Orleans,TB 23 NO 3,23,3,Baker Mayfield,152,Sean Tucker,42,Rashid Shaheed,75
8,Sunday October 26 2025,Dallas,Denver,DEN 44 DAL 24,24,44,Bo Nix,247,J.K. Dobbins,111,Troy Franklin,89
8,Sunday October 26 2025,Tennessee,Indianapolis,IND 38 TEN 14,14,38,Daniel Jones,272,Jonathan Taylor,153,Michael Pittman Jr.,95
8,Sunday October 26 2025,Green Bay,Pittsburgh,GB 35 PIT 25,35,25,Jordan Love,360,Jaylen Warren,62,Tucker Kraft,143
8,Monday October 27 2025,Washington,Kansas City,KC 28 WSH 7,7,28,Patrick Mahomes,299,Isiah Pacheco,58,Travis Kelce,99
