game,favorite,underdog,spread,fav_matchup_epa,dog_matchup_epa,matchup_epa_diff,net_matchup_advantage
Vikings @ Chargers,Chargers,Vikings,-3.5,-0.07,-0.03,-0.04000000000000001,-0.04
Dolphins @ Falcons,Falcons,Dolphins,-7.5,0.15,-0.09,0.24,0.24
Jets @ Bengals,Bengals,Jets,-6.5,-0.03,0.0499999999999999,-0.0799999999999999,-0.0799999999999999
Browns @ Patriots,Patriots,Browns,-7.0,0.0,-0.12,0.12,0.12
Giants @ Eagles,Eagles,Giants,-7.5,0.06,-0.07,0.13,0.13
Bills @ Panthers,Bills,Panthers,-7.5,0.15,0.0199999999999999,0.1300000000000001,-0.13
Bears @ Ravens,Ravens,Bears,-6.5,-0.08,0.1699999999999999,-0.2499999999999999,-0.25
49ers @ Texans,Texans,49ers,-1.5,-0.04,-0.13,0.09,0.09
Buccaneers @ Saints,Buccaneers,Saints,-4.5,0.05,-0.09,0.14,-0.14
Cowboys @ Broncos,Broncos,Cowboys,-3.5,0.17,0.0499999999999999,0.1200000000000001,0.12
Titans @ Colts,Colts,Titans,-14.0,0.28,-0.26,0.54,0.54
Packers @ Steelers,Packers,Steelers,-3.0,0.2,0.1,0.1,-0.1
Commanders @ Chiefs,Chiefs,Commanders,-12.5,0.2,-0.01,0.21000000000000002,0.21
