week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,matchup_epa_diff,net_epa_diff,fav_off_pass_epa,fav_def_pass_epa,dog_off_pass_epa,dog_def_pass_epa,matchup_pass_epa_diff,fav_off_rush_epa,fav_def_rush_epa,dog_off_rush_epa,dog_def_rush_epa,matchup_rush_epa_diff,matchup_rp_epa_diff
1,Chiefs @ Chargers,Chiefs,Chargers,3.0,-6,-9.0,True,False,0.17,-0.06,0.03,-0.01,0.19,0.19,0.22,-0.09,0.04,0.01,0.28,0.07,0.0,0.01,0.0,0.060000000000000005,0.17
1,Buccaneers @ Falcons,Buccaneers,Falcons,1.5,3,1.5,False,True,0.02,-0.08,-0.06,-0.02,0.14,0.1399999999999999,0.05,-0.06,-0.07,-0.07,0.11,-0.03,-0.1,-0.05,0.03,0.15000000000000002,0.13
1,Bengals @ Browns,Bengals,Browns,5.5,1,-4.5,True,False,-0.05,0.17,-0.18,-0.07,-0.11000000000000003,-0.1100000000000001,-0.1,0.24,-0.27,0.03,-0.03999999999999998,0.05,0.07,-0.02,-0.2,-0.2,-0.12
1,Dolphins @ Colts,Colts,Dolphins,1.5,25,23.5,False,True,0.23,-0.03,-0.01,0.11,0.38,0.38,0.27,-0.04,-0.02,0.17,0.5,0.16,-0.02,0.0,0.04,0.22,0.36
1,Raiders @ Patriots,Patriots,Raiders,2.5,-7,-9.5,True,False,0.09,-0.04,-0.18,0.04,0.35,0.35,0.26,0.0,-0.12,0.15,0.53,-0.13,-0.11,-0.26,-0.13,0.10999999999999999,0.32
1,Steelers @ Jets,Steelers,Jets,3.0,2,-1.0,True,False,0.05,0.07,-0.05,0.09,0.12000000000000001,0.12000000000000001,0.09,0.13,-0.04,0.16,0.16,-0.01,-0.02,-0.05,0.02,0.08,0.12
1,Panthers @ Jaguars,Jaguars,Panthers,4.5,16,11.5,False,True,-0.01,-0.04,-0.05,0.06,0.13999999999999999,0.14,-0.04,-0.02,-0.1,0.1,0.18000000000000002,0.05,-0.06,0.01,0.0,0.1,0.14
1,Titans @ Broncos,Broncos,Titans,8.5,8,-0.5,True,False,0.07,-0.07,-0.21,0.1,0.45000000000000007,0.45,0.09,-0.08,-0.26,0.18,0.6100000000000001,0.05,-0.06,-0.11,0.01,0.22999999999999998,0.42000000000000004
1,Lions @ Packers,Packers,Lions,1.5,14,12.5,False,True,0.17,-0.02,0.1,-0.1,-0.009999999999999995,-0.010000000000000009,0.31,0.02,0.23,-0.08,-0.020000000000000018,0.01,-0.08,-0.03,-0.13,-0.010000000000000009,-0.015000000000000013
1,Texans @ Rams,Rams,Texans,3.0,5,2.0,False,True,0.04,-0.1,0.02,-0.13,-0.009999999999999995,-0.009999999999999981,0.18,-0.12,0.05,-0.21,0.039999999999999994,-0.16,-0.04,-0.03,-0.01,-0.1,-0.030000000000000006
1,Vikings @ Bears,Bears,Vikings,1.5,-3,-4.5,True,False,0.02,0.0,-0.11,-0.04,0.09,0.09000000000000001,0.07,0.0,-0.09,-0.08,0.08,-0.05,0.0,-0.14,0.02,0.11000000000000001,0.095
2,Jaguars @ Bengals,Bengals,Jaguars,3.5,4,0.5,False,True,-0.05,0.17,-0.01,-0.04,-0.25,-0.25,-0.1,0.24,-0.04,-0.02,-0.32,0.05,0.07,0.05,-0.06,-0.13,-0.225
2,Giants @ Cowboys,Cowboys,Giants,6.5,3,-3.5,True,False,0.14,0.15,-0.04,0.08,0.11000000000000004,0.1100000000000001,0.21,0.19,-0.05,0.03,0.09999999999999998,0.01,0.1,-0.02,0.16,0.09000000000000001,0.095
2,Bears @ Lions,Lions,Bears,5.5,31,25.5,False,True,0.1,-0.1,0.02,0.0,0.18,0.18000000000000002,0.23,-0.08,0.07,0.0,0.24,-0.03,-0.13,-0.05,0.0,0.15,0.195
2,Rams @ Titans,Rams,Titans,3.0,14,11.0,False,True,0.04,-0.1,-0.21,0.1,0.45,0.45,0.18,-0.12,-0.26,0.18,0.74,-0.16,-0.04,-0.11,0.01,0.0,0.37
2,Patriots @ Dolphins,Dolphins,Patriots,1.5,-6,-7.5,True,False,-0.01,0.11,0.09,-0.04,-0.25,-0.25,-0.02,0.17,0.26,0.0,-0.45000000000000007,0.0,0.04,-0.13,-0.11,-0.020000000000000004,-0.23500000000000004
2,49ers @ Saints,49ers,Saints,1.5,5,3.5,False,True,0.0,0.03,-0.14,0.0,0.11000000000000001,0.11000000000000001,0.07,0.09,-0.17,0.09,0.24000000000000002,-0.11,-0.06,-0.08,-0.11,-0.07999999999999999,0.08000000000000002
2,Bills @ Jets,Bills,Jets,1.5,20,18.5,False,True,0.16,-0.02,-0.05,0.09,0.32,0.32,0.17,-0.07,-0.04,0.16,0.44000000000000006,0.13,0.04,-0.05,0.02,0.16,0.30000000000000004
