Week,ModelA_Total_Games,ModelA_Correct,ModelA_Incorrect,ModelA_Pushes,ModelA_Accuracy,ModelB_Total_Games,ModelB_Correct,ModelB_Incorrect,ModelB_Pushes,ModelB_Accuracy,ModelE_Total_Games,ModelE_Correct,ModelE_Incorrect,ModelE_Pushes,ModelE_Accuracy
1,16,12,4,0,75.0%,16,12,4,0,75.0%,16,8,8,0,50.0%
2,16,7,9,0,43.8%,16,12,4,0,75.0%,16,10,6,0,62.5%
3,16,5,11,0,31.2%,16,5,11,0,31.2%,16,9,7,0,56.2%
4,16,6,10,0,37.5%,16,5,11,0,31.2%,16,7,9,0,43.8%
5,14,9,5,0,64.3%,14,9,5,0,64.3%,14,6,8,0,42.9%
6,15,8,7,0,53.3%,15,8,7,0,53.3%,15,4,11,0,26.7%
7,15,11,4,0,73.3%,15,7,8,0,46.7%,15,10,5,0,66.7%
8,13,9,4,0,69.2%,13,8,5,0,61.5%,13,5,8,0,38.5%
9,14,6,8,0,42.9%,14,4,10,0,28.6%,14,6,8,0,42.9%
10,14,6,8,0,42.9%,14,5,9,0,35.7%,14,8,6,0,57.1%
11,15,10,5,0,66.7%,15,9,6,0,60.0%,15,7,8,0,46.7%
12,14,9,4,1,67.9%,14,11,2,1,82.1%,14,6,7,1,46.4%
13,16,11,4,1,71.9%,16,11,4,1,71.9%,16,9,6,1,59.4%
14,14,5,9,0,35.7%,14,4,10,0,28.6%,14,6,8,0,42.9%
15,16,9,7,0,56.2%,16,8,8,0,50.0%,16,9,7,0,56.2%
16,16,3,13,0,18.8%,16,4,12,0,25.0%,16,8,8,0,50.0%
17,16,6,10,0,37.5%,16,7,9,0,43.8%,16,11,5,0,68.8%
18,16,9,7,0,56.2%,16,9,7,0,56.2%,16,11,5,0,68.8%
TOTAL,272,141,129,2,52.2%,272,138,132,2,51.1%,272,140,130,2,51.8%
