Week,Total_Games,Consensus_Correct,Consensus_Incorrect,Consensus_Pushes,Consensus_Accuracy,Consensus_Cover_Pred,Consensus_No_Cover_Pred,Actual_Covers,Actual_No_Covers,Actual_Pushes
1,16,8,8,0,50.0%,2,14,8,8,0
2,16,12,4,0,75.0%,5,11,7,9,0
3,16,4,12,0,25.0%,8,8,6,10,0
4,16,6,10,0,37.5%,4,12,8,8,0
5,14,9,5,0,64.3%,5,9,8,6,0
6,15,7,8,0,46.7%,7,8,9,6,0
7,15,9,6,0,60.0%,3,12,5,10,0
8,13,5,8,0,38.5%,10,3,2,11,0
9,14,7,7,0,50.0%,2,12,9,5,0
10,14,8,6,0,57.1%,5,9,7,7,0
11,15,11,4,0,73.3%,6,9,8,7,0
12,14,9,4,1,67.9%,8,6,9,4,1
13,16,11,4,1,71.9%,12,4,9,6,1
14,14,6,8,0,42.9%,10,4,8,6,0
15,16,9,7,0,56.2%,8,8,7,9,0
16,16,4,12,0,25.0%,8,8,10,6,0
17,16,7,9,0,43.8%,8,8,11,5,0
18,16,9,7,0,56.2%,10,6,9,7,0
TOTAL,272,141,129,2,52.2%,121,151,140,130,2
