week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,matchup_epa_diff,net_epa_diff,fav_off_pass_epa,fav_def_pass_epa,dog_off_pass_epa,dog_def_pass_epa,matchup_pass_epa_diff,fav_off_rush_epa,fav_def_rush_epa,dog_off_rush_epa,dog_def_rush_epa,matchup_rush_epa_diff,matchup_rp_epa_diff,model_x_b_matchup_epa_diff,model_x_b_alt_matchup_epa_diff,fav_inverse_pass_epa,fav_inverse_rush_epa,dog_inverse_pass_epa,dog_inverse_rush_epa,fav_inverse_rush_vs_def_overall,fav_inverse_pass_vs_def_overall,dog_inverse_rush_vs_def_overall,dog_inverse_pass_vs_def_overall,fav_run_pct,fav_pass_pct,dog_run_pct,dog_pass_pct
1,Chiefs @ Chargers,Chiefs,Chargers,3.0,-6,-9.0,True,False,0.17,-0.06,0.03,-0.01,0.19,0.19,0.22,-0.09,0.04,0.01,0.28,0.07,0.0,0.01,0.0,0.060000000000000005,0.17,0.15528,0.01448000000000002,0.09768,0.03892000000000001,0.01616,0.00596,0.04892000000000001,0.10768,0.06595999999999999,0.07616,0.444,0.556,0.40399999999999997,0.596
1,Buccaneers @ Falcons,Buccaneers,Falcons,1.5,3,1.5,False,True,0.02,-0.08,-0.06,-0.02,0.14,0.1399999999999999,0.05,-0.06,-0.07,-0.07,0.11,-0.03,-0.1,-0.05,0.03,0.15000000000000002,0.13,0.13223999999999997,-0.05638,0.02155,-0.01707,-0.031990000000000005,-0.027149999999999997,0.002930000000000002,0.041550000000000004,0.05285000000000001,0.04801,0.431,0.569,0.457,0.5429999999999999
1,Bengals @ Browns,Bengals,Browns,5.5,1,-4.5,True,False,-0.05,0.17,-0.18,-0.07,-0.11000000000000003,-0.1100000000000001,-0.1,0.24,-0.27,0.03,-0.03999999999999998,0.05,0.07,-0.02,-0.2,-0.2,-0.12,-0.14112,0.5940000000000001,-0.034999999999999996,0.0325,-0.10422000000000001,-0.01228,0.10250000000000001,0.03500000000000001,-0.18228,-0.27422,0.35,0.65,0.386,0.614
1,Dolphins @ Colts,Colts,Dolphins,1.5,25,23.5,False,True,0.23,-0.03,-0.01,0.11,0.38,0.38,0.27,-0.04,-0.02,0.17,0.5,0.16,-0.02,0.0,0.04,0.22,0.36,0.34772000000000003,-0.06076999999999998,0.12501,0.08592000000000001,-0.0083,0.0,-0.02407999999999999,0.01501000000000001,0.03,0.021699999999999997,0.46299999999999997,0.537,0.415,0.585
1,Raiders @ Patriots,Patriots,Raiders,2.5,-7,-9.5,True,False,0.09,-0.04,-0.18,0.04,0.35,0.35,0.26,0.0,-0.12,0.15,0.53,-0.13,-0.11,-0.26,-0.13,0.10999999999999999,0.32,0.33192000000000005,0.10169000000000003,0.13026000000000001,-0.06487,-0.0546,-0.14170000000000002,-0.10486999999999999,0.09026,-0.10170000000000001,-0.014600000000000002,0.501,0.499,0.455,0.545
1,Cardinals @ Saints,Cardinals,Saints,6.5,7,0.5,False,True,0.0,0.02,-0.14,0.0,0.12000000000000001,0.12000000000000001,0.0,0.07,-0.17,0.09,0.19,0.0,-0.08,-0.08,-0.11,0.05,0.12,0.10964000000000002,0.15654,0.0,0.0,-0.06902000000000001,-0.04752,0.0,0.0,-0.06752,-0.08902000000000002,0.42,0.58,0.406,0.594
1,Steelers @ Jets,Steelers,Jets,3.0,2,-1.0,True,False,0.05,0.07,-0.05,0.09,0.12000000000000001,0.12000000000000001,0.09,0.13,-0.04,0.16,0.16,-0.01,-0.02,-0.05,0.02,0.08,0.12,0.10711999999999999,0.03867000000000001,0.03915,-0.00565,-0.01932,-0.02585,-0.09565,-0.05085,-0.09585,-0.08932000000000001,0.435,0.565,0.483,0.517
1,Giants @ Commanders,Commanders,Giants,6.5,15,8.5,False,True,0.0,0.07,-0.04,0.08,0.049999999999999996,0.04999999999999999,0.0,0.13,-0.05,0.03,-0.05,0.0,-0.01,-0.02,0.16,0.19,0.07,0.07545000000000002,0.014399999999999996,0.0,0.0,-0.024,-0.010400000000000001,-0.08,-0.08,-0.08040000000000001,-0.094,0.475,0.525,0.48,0.52
1,Panthers @ Jaguars,Jaguars,Panthers,4.5,16,11.5,False,True,-0.01,-0.04,-0.05,0.06,0.13999999999999999,0.14,-0.04,-0.02,-0.1,0.1,0.18000000000000002,0.05,-0.06,0.01,0.0,0.1,0.14,0.13734000000000002,-0.14456,-0.01636,0.02955,-0.0475,0.00525,-0.030449999999999998,-0.07636,0.04525,-0.0075,0.409,0.591,0.475,0.525
1,Titans @ Broncos,Broncos,Titans,8.5,8,-0.5,True,False,0.07,-0.07,-0.21,0.1,0.45000000000000007,0.45,0.09,-0.08,-0.26,0.18,0.6100000000000001,0.05,-0.06,-0.11,0.01,0.22999999999999998,0.42000000000000004,0.38514,-0.10646000000000001,0.03924,0.0282,-0.09724000000000001,-0.06886,-0.0718,-0.06076000000000001,0.0011400000000000021,-0.02724,0.436,0.564,0.374,0.626
