week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,actual_cover,fav_matchup_epa,dog_matchup_epa,matchup_epa_diff
2,Chargers at Raiders,Chargers,Raiders,3.5,-3.0,-6.5,True,0.05,-0.13999999999999999,0.19
2,Chargers at Raiders,Chargers,Raiders,3.5,4.0,0.5,True,0.05,-0.13999999999999999,0.19
2,Bills at Jets,Bills,Jets,6.5,-3.0,-9.5,True,0.2,-0.07,0.27
2,Eagles at Chiefs,Eagles,Chiefs,0.5,3.0,2.5,True,-0.02,0.14,-0.16
2,Bears at Lions,Lions,Bears,5.5,4.0,-1.5,False,0.05,-0.08,0.13
2,Browns at Ravens,Ravens,Browns,11.5,11.0,-0.5,False,-0.11,-0.010000000000000009,-0.09999999999999999
2,Buccaneers at Texans,Texans,Buccaneers,2.5,-3.0,-5.5,True,-0.04,-0.1,0.060000000000000005
2,Jaguars at Bengals,Bengals,Jaguars,3.5,3.0,-0.5,True,-0.14,0.13999999999999999,-0.28
2,Patriots at Dolphins,Dolphins,Patriots,1.5,-3.0,-4.5,True,0.0,0.25,-0.25
2,49ers at Saints,49ers,Saints,4.5,4.0,-0.5,True,0.02,-0.09,0.11
2,Falcons at Vikings,Vikings,Falcons,4.5,7.0,2.5,False,-0.12000000000000001,-0.1,-0.020000000000000004
2,Seahawks at Steelers,Steelers,Seahawks,3.0,3.0,0.0,True,0.04,0.05,-0.010000000000000002
2,Giants at Cowboys,Cowboys,Giants,5.5,11.0,5.5,False,0.19,0.08,0.11
2,Panthers at Cardinals,Cardinals,Panthers,6.5,7.0,0.5,False,0.02,0.01,0.01
2,Broncos at Colts,Broncos,Colts,2.5,3.0,0.5,True,0.010000000000000002,0.10999999999999999,-0.09999999999999998
2,Rams at Titans,Rams,Titans,5.5,7.0,1.5,True,0.11000000000000001,-0.33,0.44000000000000006
3,MIA @ BUF,BUF,MIA,12.5,10.0,-2.5,True,0.30000000000000004,-0.010000000000000002,0.31000000000000005
3,ATL @ CAR,ATL,CAR,5.5,-30.0,-35.5,True,0.0,-0.060000000000000005,0.060000000000000005
3,GB @ CLE,GB,CLE,8.5,-3.0,-11.5,True,0.08,-0.14,0.22000000000000003
3,HOU @ JAX,JAX,HOU,1.5,7.0,5.5,False,-0.15000000000000002,-0.07,-0.08000000000000002
3,CIN @ MIN,MIN,CIN,3.0,38.0,35.0,False,0.07999999999999999,-0.18,0.26
3,PIT @ NE,PIT,NE,1.5,7.0,5.5,False,0.12,0.12,0.0
3,LA @ PHI,PHI,LA,3.5,7.0,3.5,False,-0.08,0.02,-0.1
3,NYJ @ TB,TB,NYJ,7.0,2.0,-5.0,True,0.11000000000000001,-0.11,0.22000000000000003
3,IND @ TEN,IND,TEN,3.5,21.0,17.5,False,0.28,-0.26,0.54
3,LV @ WAS,WAS,LV,3.5,17.0,13.5,False,0.07,-0.13999999999999999,0.21
3,DEN @ LAC,LAC,DEN,2.5,3.0,0.5,False,-0.09000000000000001,0.08,-0.17
3,NO @ SEA,SEA,NO,7.5,31.0,23.5,False,0.02,-0.12,0.13999999999999999
3,DAL @ CHI,CHI,DAL,1.5,17.0,15.5,False,0.15,0.09999999999999999,0.05
3,ARI @ SF,SF,ARI,1.5,1.0,-0.5,True,0.03,-0.01,0.04
3,KC @ NYG,KC,NYG,6.5,13.0,6.5,False,0.2,-0.09,0.29000000000000004
