team,epa_off_per_play,total_epa_off,success_rate_off,source_off,epa_def_allowed_per_play,total_epa_def_allowed,success_rate_def,source_def,team_name,net_epa_per_play,last_updated,source
IND,0.23,106.86,0.4989,sumersports_offensive_week8,-0.03,-17.4,0.4638,sumersports_defensive_week8,Colts,0.26,2025-10-29 14:27:53,sumersports_combined_week8
GB,0.17,73.74,0.4836,sumersports_offensive_week8,-0.02,-7.0,0.4199,sumersports_defensive_week8,Packers,0.19,2025-10-29 14:27:53,sumersports_combined_week8
KC,0.17,88.67,0.4933,sumersports_offensive_week8,-0.06,-25.64,0.435,sumersports_defensive_week8,Chiefs,0.23,2025-10-29 14:27:53,sumersports_combined_week8
BUF,0.16,69.99,0.484,sumersports_offensive_week8,-0.02,-9.2,0.4279,sumersports_defensive_week8,Bills,0.18,2025-10-29 14:27:53,sumersports_combined_week8
DAL,0.14,71.52,0.4641,sumersports_offensive_week8,0.15,80.74,0.4971,sumersports_defensive_week8,Cowboys,-0.009999999999999981,2025-10-29 14:27:53,sumersports_combined_week8
DET,0.1,43.96,0.4717,sumersports_offensive_week8,-0.1,-41.33,0.3942,sumersports_defensive_week8,Lions,0.2,2025-10-29 14:27:53,sumersports_combined_week8
NE,0.09,43.98,0.4515,sumersports_offensive_week8,-0.04,-19.33,0.4447,sumersports_defensive_week8,Patriots,0.13,2025-10-29 14:27:53,sumersports_combined_week8
DEN,0.07,37.43,0.425,sumersports_offensive_week8,-0.07,-36.78,0.3765,sumersports_defensive_week8,Broncos,0.14,2025-10-29 14:27:53,sumersports_combined_week8
PIT,0.05,19.23,0.4349,sumersports_offensive_week8,0.07,35.72,0.453,sumersports_defensive_week8,Steelers,-0.020000000000000004,2025-10-29 14:27:53,sumersports_combined_week8
LA,0.04,18.07,0.4732,sumersports_offensive_week8,-0.1,-44.84,0.4195,sumersports_defensive_week8,Rams,0.14,2025-10-29 14:27:53,sumersports_combined_week8
LAC,0.03,16.62,0.4487,sumersports_offensive_week8,-0.01,-4.2,0.44,sumersports_defensive_week8,Chargers,0.04,2025-10-29 14:27:53,sumersports_combined_week8
CHI,0.02,9.06,0.4312,sumersports_offensive_week8,0.0,0.0,0.44,sumersports_defensive_week8,Bears,0.02,2025-10-29 14:27:53,sumersports_combined_week8
TB,0.02,9.31,0.4102,sumersports_offensive_week8,-0.08,-38.66,0.4303,sumersports_defensive_week8,Buccaneers,0.1,2025-10-29 14:27:53,sumersports_combined_week8
HOU,0.02,7.86,0.4211,sumersports_offensive_week8,-0.13,-52.01,0.3929,sumersports_defensive_week8,Texans,0.15,2025-10-29 14:27:53,sumersports_combined_week8
SF,0.0,0.25,0.4667,sumersports_offensive_week8,0.03,14.05,0.4665,sumersports_defensive_week8,49ers,-0.03,2025-10-29 14:27:53,sumersports_combined_week8
JAX,-0.01,-3.0,0.4345,sumersports_offensive_week8,-0.04,-17.12,0.4239,sumersports_defensive_week8,Jaguars,0.03,2025-10-29 14:27:53,sumersports_combined_week8
MIA,-0.01,-6.27,0.4009,sumersports_offensive_week8,0.11,53.36,0.4681,sumersports_defensive_week8,Dolphins,-0.12,2025-10-29 14:27:53,sumersports_combined_week8
NYG,-0.04,-20.61,0.4074,sumersports_offensive_week8,0.08,41.66,0.4598,sumersports_defensive_week8,Giants,-0.12,2025-10-29 14:27:53,sumersports_combined_week8
NYJ,-0.05,-23.02,0.4417,sumersports_offensive_week8,0.09,46.43,0.4172,sumersports_defensive_week8,Jets,-0.14,2025-10-29 14:27:53,sumersports_combined_week8
CAR,-0.05,-25.9,0.4438,sumersports_offensive_week8,0.06,28.8,0.3991,sumersports_defensive_week8,Panthers,-0.11,2025-10-29 14:27:53,sumersports_combined_week8
CIN,-0.05,-23.93,0.4401,sumersports_offensive_week8,0.17,88.01,0.5038,sumersports_defensive_week8,Bengals,-0.22000000000000003,2025-10-29 14:27:53,sumersports_combined_week8
ATL,-0.06,-26.06,0.4305,sumersports_offensive_week8,-0.02,-8.17,0.4504,sumersports_defensive_week8,Falcons,-0.039999999999999994,2025-10-29 14:27:53,sumersports_combined_week8
MIN,-0.11,-44.46,0.44,sumersports_offensive_week8,-0.04,-14.91,0.4245,sumersports_defensive_week8,Vikings,-0.07,2025-10-29 14:27:53,sumersports_combined_week8
NO,-0.14,-69.92,0.4232,sumersports_offensive_week8,0.0,-1.76,0.4338,sumersports_defensive_week8,Saints,-0.14,2025-10-29 14:27:53,sumersports_combined_week8
LV,-0.18,-70.75,0.3919,sumersports_offensive_week8,0.04,15.5,0.447,sumersports_defensive_week8,Raiders,-0.22,2025-10-29 14:27:53,sumersports_combined_week8
CLE,-0.18,-92.31,0.3359,sumersports_offensive_week8,-0.07,-32.96,0.387,sumersports_defensive_week8,Browns,-0.10999999999999999,2025-10-29 14:27:53,sumersports_combined_week8
TEN,-0.21,-99.84,0.3814,sumersports_offensive_week8,0.1,48.63,0.4309,sumersports_defensive_week8,Titans,-0.31,2025-10-29 14:27:53,sumersports_combined_week8
