team,team_abbr,games,run_att,run_att_per_game,pass_att,pass_att_per_game,total_plays,plays_per_game,run_pct,pass_pct
Buffalo,BUF,7,221,32,203,29,424,61,52.1,47.9
Seattle,SEA,7,202,29,196,28,398,57,50.8,49.2
Detroit,DET,7,207,30,204,29,411,59,50.4,49.6
Philadelphia,PHI,8,218,27,215,27,433,54,50.3,49.7
New England,NE,8,229,29,228,29,457,57,50.1,49.9
Baltimore,BAL,7,177,25,185,26,362,52,48.9,51.1
Green Bay,GB,7,203,29,213,30,416,59,48.8,51.2
NY Jets,NYJ,8,221,28,237,30,458,57,48.3,51.7
NY Giants,NYG,8,234,29,254,32,488,61,48.0,52.0
Washington,WAS,8,212,27,234,29,446,56,47.5,52.5
Carolina,CAR,8,236,30,261,33,497,62,47.5,52.5
Chicago,CHI,7,198,28,226,32,424,61,46.7,53.3
Indianapolis,IND,8,214,27,248,31,462,58,46.3,53.7
Atlanta,ATL,7,196,28,233,33,429,61,45.7,54.3
Las Vegas,LV,7,170,24,204,29,374,53,45.5,54.5
Kansas City,KC,8,225,28,282,35,507,63,44.4,55.6
Houston,HOU,7,186,27,236,34,422,60,44.1,55.9
Denver,DEN,8,220,28,285,36,505,63,43.6,56.4
Pittsburgh,PIT,7,162,23,210,30,372,53,43.5,56.5
Tampa Bay,TB,8,204,26,269,34,473,59,43.1,56.9
Arizona,ARI,7,175,25,242,35,417,60,42.0,58.0
LA Rams,LA,7,175,25,243,35,418,60,41.9,58.1
Miami,MIA,8,177,22,249,31,426,53,41.5,58.5
San Francisco,SF,8,210,26,299,37,509,64,41.3,58.7
Minnesota,MIN,7,153,22,219,31,372,53,41.1,58.9
Jacksonville,JAX,7,179,26,259,37,438,63,40.9,59.1
Dallas,DAL,8,206,26,299,37,505,63,40.8,59.2
New Orleans,NO,8,198,25,290,36,488,61,40.6,59.4
LA Chargers,LAC,8,203,25,300,38,503,63,40.4,59.6
Cleveland,CLE,8,190,24,302,38,492,62,38.6,61.4
Tennessee,TEN,8,164,21,274,34,438,55,37.4,62.6
Cincinnati,CIN,8,154,19,286,36,440,55,35.0,65.0
