week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,matchup_epa_diff,net_epa_diff,fav_off_pass_epa,fav_def_pass_epa,dog_off_pass_epa,dog_def_pass_epa,matchup_pass_epa_diff,fav_off_rush_epa,fav_def_rush_epa,dog_off_rush_epa,dog_def_rush_epa,matchup_rush_epa_diff,matchup_rp_epa_diff,matchup_weighted_rp_epa_diff,matchup_fav_weighted_epa_diff,matchup_dog_weighted_epa_diff,fav_run_pct,fav_pass_pct,dog_run_pct,dog_pass_pct,avg_run_pct,avg_pass_pct
1,Chiefs @ Chargers,Chiefs,Chargers,3.0,-6,-9.0,True,False,0.17,-0.06,0.03,-0.01,0.19,0.19,0.22,-0.09,0.04,0.01,0.28,0.07,0.0,0.01,0.0,0.060000000000000005,0.17,0.18672000000000002,0.18232000000000004,0.19112,0.444,0.556,0.40399999999999997,0.596,0.424,0.5760000000000001
1,Buccaneers @ Falcons,Buccaneers,Falcons,1.5,3,1.5,False,True,0.02,-0.08,-0.06,-0.02,0.14,0.1399999999999999,0.05,-0.06,-0.07,-0.07,0.11,-0.03,-0.1,-0.05,0.03,0.15000000000000002,0.13,0.12775999999999998,0.12724000000000002,0.12828,0.431,0.569,0.457,0.5429999999999999,0.444,0.5559999999999999
1,Bengals @ Browns,Bengals,Browns,5.5,1,-4.5,True,False,-0.05,0.17,-0.18,-0.07,-0.11000000000000003,-0.1100000000000001,-0.1,0.24,-0.27,0.03,-0.03999999999999998,0.05,0.07,-0.02,-0.2,-0.2,-0.12,-0.09887999999999998,-0.09599999999999997,-0.10175999999999999,0.35,0.65,0.386,0.614,0.368,0.632
1,Dolphins @ Colts,Colts,Dolphins,1.5,25,23.5,False,True,0.23,-0.03,-0.01,0.11,0.38,0.38,0.27,-0.04,-0.02,0.17,0.5,0.16,-0.02,0.0,0.04,0.22,0.36,0.37707999999999997,0.37036,0.3838,0.46299999999999997,0.537,0.415,0.585,0.43899999999999995,0.5609999999999999
1,Raiders @ Patriots,Patriots,Raiders,2.5,-7,-9.5,True,False,0.09,-0.04,-0.18,0.04,0.35,0.35,0.26,0.0,-0.12,0.15,0.53,-0.13,-0.11,-0.26,-0.13,0.10999999999999999,0.32,0.32924000000000003,0.31958000000000003,0.33890000000000003,0.501,0.499,0.455,0.545,0.478,0.522
1,Cardinals @ Saints,Cardinals,Saints,6.5,7,0.5,False,True,0.0,0.02,-0.14,0.0,0.12000000000000001,0.12000000000000001,0.0,0.07,-0.17,0.09,0.19,0.0,-0.08,-0.08,-0.11,0.05,0.12,0.13218,0.13119999999999998,0.13316,0.42,0.58,0.406,0.594,0.41300000000000003,0.587
1,Steelers @ Jets,Steelers,Jets,3.0,2,-1.0,True,False,0.05,0.07,-0.05,0.09,0.12000000000000001,0.12000000000000001,0.09,0.13,-0.04,0.16,0.16,-0.01,-0.02,-0.05,0.02,0.08,0.12,0.12327999999999997,0.12519999999999998,0.12136,0.435,0.565,0.483,0.517,0.45899999999999996,0.5409999999999999
1,Giants @ Commanders,Commanders,Giants,6.5,15,8.5,False,True,0.0,0.07,-0.04,0.08,0.049999999999999996,0.04999999999999999,0.0,0.13,-0.05,0.03,-0.05,0.0,-0.01,-0.02,0.16,0.19,0.07,0.0646,0.064,0.06520000000000001,0.475,0.525,0.48,0.52,0.4775,0.5225
1,Panthers @ Jaguars,Jaguars,Panthers,4.5,16,11.5,False,True,-0.01,-0.04,-0.05,0.06,0.13999999999999999,0.14,-0.04,-0.02,-0.1,0.1,0.18000000000000002,0.05,-0.06,0.01,0.0,0.1,0.14,0.14464000000000002,0.14728,0.14200000000000002,0.409,0.591,0.475,0.525,0.44199999999999995,0.558
1,Titans @ Broncos,Broncos,Titans,8.5,8,-0.5,True,False,0.07,-0.07,-0.21,0.1,0.45000000000000007,0.45,0.09,-0.08,-0.26,0.18,0.6100000000000001,0.05,-0.06,-0.11,0.01,0.22999999999999998,0.42000000000000004,0.45610000000000006,0.44432,0.4678800000000001,0.436,0.564,0.374,0.626,0.405,0.595
1,49ers @ Seahawks,49ers,Seahawks,1.5,4,2.5,False,True,0.0,0.03,0.0,-0.04,-0.07,-0.07,0.07,0.09,0.0,0.04,0.020000000000000018,-0.11,-0.06,0.0,-0.19,-0.24,-0.10999999999999999,-0.09973,-0.08737999999999997,-0.11207999999999999,0.413,0.5870000000000001,0.508,0.49200000000000005,0.4605,0.5395000000000001
1,Lions @ Packers,Packers,Lions,1.5,14,12.5,False,True,0.17,-0.02,0.1,-0.1,-0.009999999999999995,-0.010000000000000009,0.31,0.02,0.23,-0.08,-0.020000000000000018,0.01,-0.08,-0.03,-0.13,-0.010000000000000009,-0.015000000000000013,-0.015040000000000013,-0.015120000000000014,-0.014960000000000013,0.488,0.512,0.504,0.496,0.496,0.504
1,Texans @ Rams,Rams,Texans,3.0,5,2.0,False,True,0.04,-0.1,0.02,-0.13,-0.009999999999999995,-0.009999999999999981,0.18,-0.12,0.05,-0.21,0.039999999999999994,-0.16,-0.04,-0.03,-0.01,-0.1,-0.030000000000000006,-0.02020000000000001,-0.018660000000000006,-0.021740000000000006,0.419,0.581,0.441,0.5589999999999999,0.43,0.57
1,Ravens @ Bills,Bills,Ravens,1.5,1,-0.5,True,False,0.16,-0.02,0.0,0.13,0.31000000000000005,0.31,0.17,-0.07,0.0,0.16,0.4,0.13,0.04,0.0,0.07,0.16,0.28,0.2788,0.27496,0.28264,0.521,0.479,0.489,0.511,0.505,0.495
1,Vikings @ Bears,Bears,Vikings,1.5,-3,-4.5,True,False,0.02,0.0,-0.11,-0.04,0.09,0.09000000000000001,0.07,0.0,-0.09,-0.08,0.08,-0.05,0.0,-0.14,0.02,0.11000000000000001,0.095,0.09317,0.09401000000000001,0.09233,0.467,0.5329999999999999,0.41100000000000003,0.589,0.43900000000000006,0.5609999999999999
2,Commanders @ Packers,Packers,Commanders,3.5,9,5.5,False,True,0.17,-0.02,0.0,0.07,0.26,0.26,0.31,0.02,0.0,0.13,0.42,0.01,-0.08,0.0,-0.01,0.08,0.25,0.25628999999999996,0.25408000000000003,0.2585,0.488,0.512,0.475,0.525,0.4815,0.5185
