away_team,home_team,spread_line,total_line,favorite_team,underdog_team,week,favorite_is_home,favorite_is_away,underdog_is_home,underdog_is_away,spread_category
Raiders,Patriots,2.5,44.5,Patriots,Raiders,1,True,False,False,True,Small (≤3.5)
Steelers,Jets,3.0,37.5,Steelers,Jets,1,False,True,True,False,Small (≤3.5)
Dolphins,Colts,1.5,47.5,Colts,Dolphins,1,True,False,False,True,Small (≤3.5)
Cardinals,Saints,6.5,44.5,Cardinals,Saints,1,False,True,True,False,Medium (3.5-6.5)
Giants,Commanders,6.5,45.5,Commanders,Giants,1,True,False,False,True,Medium (3.5-6.5)
Panthers,Jaguars,4.5,46.5,Jaguars,Panthers,1,True,False,False,True,Medium (3.5-6.5)
Bengals,Browns,5.5,47.5,Bengals,Browns,1,False,True,True,False,Medium (3.5-6.5)
Buccaneers,Falcons,1.5,47.5,Buccaneers,Falcons,1,False,True,True,False,Small (≤3.5)
Titans,Broncos,8.5,42.5,Broncos,Titans,1,True,False,False,True,Large (6.5-10)
49ers,Seahawks,1.5,43.5,49ers,Seahawks,1,False,True,True,False,Small (≤3.5)
Lions,Packers,1.5,47.5,Packers,Lions,1,True,False,False,True,Small (≤3.5)
Texans,Rams,3.0,43.5,Rams,Texans,1,True,False,False,True,Small (≤3.5)
Ravens,Bills,1.5,50.5,Bills,Ravens,1,True,False,False,True,Small (≤3.5)
Vikings,Bears,1.5,43.5,Bears,Vikings,1,True,False,False,True,Small (≤3.5)
Chiefs,Chargers,3.0,47.5,Chiefs,Chargers,1,False,True,True,False,Small (≤3.5)
Cowboys,Eagles,8.5,45.5,Eagles,Cowboys,1,True,False,False,True,Large (6.5-10)
Commanders,Packers,3.5,48.0,Packers,Commanders,2,True,False,False,True,Small (≤3.5)
Browns,Ravens,11.5,45.0,Ravens,Browns,2,True,False,False,True,Very Large (>10)
Jaguars,Bengals,3.5,49.5,Bengals,Jaguars,2,True,False,False,True,Small (≤3.5)
Giants,Cowboys,5.5,44.5,Cowboys,Giants,2,True,False,False,True,Medium (3.5-6.5)
Bears,Lions,5.5,47.5,Lions,Bears,2,True,False,False,True,Medium (3.5-6.5)
Patriots,Dolphins,1.5,44.5,Dolphins,Patriots,2,True,False,False,True,Small (≤3.5)
49ers,Saints,4.5,43.5,49ers,Saints,2,False,True,True,False,Medium (3.5-6.5)
Bills,Jets,6.5,45.5,Bills,Jets,2,False,True,True,False,Medium (3.5-6.5)
Seahawks,Steelers,3.0,40.5,Steelers,Seahawks,2,True,False,False,True,Small (≤3.5)
Rams,Titans,5.5,41.5,Rams,Titans,2,False,True,True,False,Medium (3.5-6.5)
Panthers,Cardinals,6.5,45.5,Cardinals,Panthers,2,True,False,False,True,Medium (3.5-6.5)
Broncos,Colts,2.5,42.5,Broncos,Colts,2,False,True,True,False,Small (≤3.5)
Eagles,Chiefs,0.5,46.5,Eagles,Chiefs,2,False,True,True,False,Small (≤3.5)
Falcons,Vikings,4.5,45.5,Vikings,Falcons,2,True,False,False,True,Medium (3.5-6.5)
Buccaneers,Texans,2.5,43.0,Texans,Buccaneers,2,True,False,False,True,Small (≤3.5)
Chargers,Raiders,3.5,46.5,Chargers,Raiders,2,False,True,True,False,Small (≤3.5)
Dolphins,Bills,12.5,49.5,Bills,Dolphins,3,True,False,False,True,Very Large (>10)
Falcons,Panthers,5.5,43.5,Falcons,Panthers,3,False,True,True,False,Medium (3.5-6.5)
Packers,Browns,8.5,42.5,Packers,Browns,3,False,True,True,False,Large (6.5-10)
Texans,Jaguars,1.5,43.5,Jaguars,Texans,3,True,False,False,True,Small (≤3.5)
Bengals,Vikings,3.0,42.5,Vikings,Bengals,3,True,False,False,True,Small (≤3.5)
Steelers,Patriots,1.5,44.5,Steelers,Patriots,3,False,True,True,False,Small (≤3.5)
Rams,Eagles,3.5,45.5,Eagles,Rams,3,True,False,False,True,Small (≤3.5)
Jets,Buccaneers,7.0,44.5,Buccaneers,Jets,3,True,False,False,True,Large (6.5-10)
Colts,Titans,3.5,43.5,Colts,Titans,3,False,True,True,False,Small (≤3.5)
Raiders,Commanders,3.5,47.5,Commanders,Raiders,3,True,False,False,True,Small (≤3.5)
Broncos,Chargers,2.5,45.5,Chargers,Broncos,3,True,False,False,True,Small (≤3.5)
Saints,Seahawks,7.5,41.5,Seahawks,Saints,3,True,False,False,True,Large (6.5-10)
Cowboys,Bears,1.5,48.5,Bears,Cowboys,3,True,False,False,True,Small (≤3.5)
Cardinals,49ers,1.5,43.5,49ers,Cardinals,3,True,False,False,True,Small (≤3.5)
Chiefs,Giants,6.5,43.5,Chiefs,Giants,3,False,True,True,False,Medium (3.5-6.5)
Lions,Ravens,5.5,51.5,Ravens,Lions,3,True,False,False,True,Medium (3.5-6.5)
Seahawks,Cardinals,1.5,43.5,Seahawks,Cardinals,4,False,True,True,False,Small (≤3.5)
Vikings,Steelers,2.5,40.5,Vikings,Steelers,4,False,True,True,False,Small (≤3.5)
Commanders,Falcons,1.5,45.5,Commanders,Falcons,4,False,True,True,False,Small (≤3.5)
Saints,Bills,16.5,48.5,Bills,Saints,4,True,False,False,True,Very Large (>10)
Browns,Lions,8.5,44.5,Lions,Browns,4,True,False,False,True,Large (6.5-10)
Titans,Texans,7.0,38.5,Texans,Titans,4,True,False,False,True,Large (6.5-10)
