away_team,home_team,favorite_team,underdog_team,spread_line,total_line
Rams,Seahawks,Rams,Seahawks,-0.5,42.5
Eagles,Commanders,Eagles,Commanders,-6.5,44.5
Packers,Bears,Packers,Bears,-1.5,46.5
Bills,Browns,Bills,Browns,-10.5,41.5
Chargers,Cowboys,Cowboys,Chargers,-2.5,49.5
Chiefs,Titans,Chiefs,Titans,-3.5,37.5
Bengals,Dolphins,Bengals,Dolphins,-4.5,47.5
Jets,Saints,Saints,Jets,-4.5,40.5
Vikings,Giants,Vikings,Giants,-2.5,43.5
Buccaneers,Panthers,Buccaneers,Panthers,-3,45.5
Jaguars,Broncos,Broncos,Jaguars,-3,46.5
Falcons,Cardinals,Falcons,Cardinals,-2.5,47.5
Steelers,Lions,Lions,Steelers,-7,51.5
Raiders,Texans,Texans,Raiders,-14.5,37.5
Patriots,Ravens,Ravens,Patriots,-3,48.5
49ers,Colts,49ers,Colts,-6.5,46.5

