away_team,home_team,spread_line,total_line,favorite_team,underdog_team
Commanders,Packers,3.5,48,Packers,Commanders
Browns,Ravens,11.5,45,Ravens,Browns
Jaguars,Bengals,3.5,49.5,Bengals,Jaguars
Giants,Cowboys,5.5,44.5,Cowboys,Giants
Bears,Lions,5.5,47.5,Lions,Bears
Patriots,Dolphins,1.5,44.5,Dolphins,Patriots
49ers,Saints,4.5,43.5,49ers,Saints
Bills,Jets,6.5,45.5,Bills,Jets
Seahawks,Steelers,3.0,40.5,Steelers,Seahawks
Rams,Titans,5.5,41.5,Rams,Titans
Panthers,Cardinals,6.5,45.5,Cardinals,Panthers
Broncos,Colts,2.5,42.5,Broncos,Colts
Eagles,Chiefs,0.5,46.5,Eagles,Chiefs
Falcons,Vikings,4.5,45.5,Vikings,Falcons
Buccaneers,Texans,2.5,43,Texans,Buccaneers
Chargers,Raiders,3.5,46.5,Chargers,Raiders
