team,epa_sum,plays,epa_allowed_sum,plays_faced,success_rate,success_rate_allowed,epa_off_per_play,epa_def_allowed_per_play,net_epa_per_play,team_name
ARI,-2.0874,404,-8.0831,435,0.4371,0.4697,-0.005166831683168317,-0.01858183908045977,0.013415007397291453,Cardinals
ATL,-10.9707,336,-1.0693,285,0.457,0.468,-0.03265089285714286,-0.0037519298245614033,-0.028898963032581455,Falcons
BAL,25.0592,355,68.0011,455,0.4975,0.5217,0.07058929577464788,0.149452967032967,-0.07886367125831913,Ravens
BUF,64.9311,427,21.4579,367,0.4955,0.4891,0.15206346604215457,0.058468392370572206,0.09359507367158236,Bills
CAR,-9.3134,424,4.8803,368,0.4608,0.4304,-0.021965566037735848,0.013261684782608696,-0.035227250820344544,Panthers
CHI,-12.0954,334,6.9043,304,0.4311,0.5114,-0.03621377245508982,0.022711513157894738,-0.05892528561298456,Bears
CIN,-48.2527,374,32.934,430,0.4325,0.4923,-0.12901791443850266,0.0765906976744186,-0.20560861211292125,Bengals
CLE,-69.7111,436,-7.7383,386,0.3916,0.4358,-0.15988784403669726,-0.02004740932642487,-0.13984043471027238,Browns
DAL,67.2091,447,72.3252,440,0.4995,0.5062,0.15035592841163312,0.16437545454545455,-0.01401952613382143,Cowboys
DEN,17.6673,424,-20.5053,414,0.4558,0.4161,0.041668160377358494,-0.04952971014492753,0.09119787052228603,Broncos
DET,51.8712,404,-22.1271,386,0.5146,0.4502,0.1283940594059406,-0.0573240932642487,0.1857181526701893,Lions
GB,32.8183,333,2.772,337,0.4789,0.4522,0.09855345345345345,0.008225519287833827,0.09032793416561963,Packers
HOU,5.5202,382,-56.8745,385,0.4391,0.415,0.014450785340314137,-0.147725974025974,0.16217675936628814,Texans
IND,66.915,397,-21.686,389,0.5325,0.5081,0.168551637279597,-0.055748071979434446,0.22429970925903142,Colts
JAX,12.363,418,-17.3608,399,0.4745,0.4721,0.029576555023923444,-0.043510776942355896,0.07308733196627934,Jaguars
KC,41.2425,406,19.0483,380,0.4949,0.4977,0.10158251231527093,0.050127105263157896,0.05145540705211304,Chiefs
LA,7.4583,405,-8.0123,431,0.5189,0.4405,0.018415555555555557,-0.018590023201856147,0.0370055787574117,Rams
LAC,-7.3885,414,-5.498,396,0.4691,0.4373,-0.017846618357487923,-0.013883838383838384,-0.003962779973649539,Chargers
LV,-45.4005,392,18.1279,398,0.453,0.4821,-0.11581760204081633,0.04554748743718593,-0.16136508947800227,Raiders
MIA,23.426,354,68.3717,406,0.4642,0.5156,0.06617514124293784,0.16840320197044337,-0.10222806072750552,Dolphins
MIN,-16.8184,390,-38.6139,404,0.4555,0.4381,-0.04312410256410257,-0.09557896039603961,0.05245485783193704,Vikings
NE,24.6496,394,0.7525,394,0.4689,0.4835,0.06256243654822335,0.0019098984771573602,0.06065253807106599,Patriots
NO,-45.0161,440,6.2059,405,0.4569,0.4801,-0.10230931818181818,0.015323209876543209,-0.11763252805836139,Saints
NYG,-23.2042,429,20.0111,444,0.4502,0.4787,-0.05408904428904429,0.04507004504504504,-0.09915908933408933,Giants
NYJ,4.3608,407,60.808,413,0.5106,0.4657,0.010714496314496315,0.14723486682808717,-0.13652037051359087,Jets
PHI,7.1948,394,-8.039,412,0.4476,0.4772,0.018260913705583755,-0.019512135922330098,0.03777304962791385,Eagles
PIT,12.1538,286,13.1255,336,0.4993,0.4949,0.0424958041958042,0.039063988095238096,0.0034318161005661013,Steelers
SEA,32.3462,379,-13.1937,422,0.5087,0.4578,0.08534617414248022,-0.03126469194312796,0.11661086608560818,Seahawks
SF,5.1872,438,-9.3413,406,0.5004,0.4995,0.011842922374429223,-0.023008128078817736,0.03485105045324696,49ers
TB,13.9486,429,9.8893,391,0.453,0.489,0.03251421911421912,0.025292327365728902,0.007221891748490215,Buccaneers
TEN,-53.5689,398,24.7009,410,0.4137,0.4721,-0.13459522613065328,0.06024609756097561,-0.19484132369162888,Titans
WAS,43.0776,394,3.3992,416,0.5155,0.4419,0.10933401015228425,0.008171153846153845,0.10116285630613041,Commanders
