team,epa_sum,plays,epa_allowed_sum,plays_faced,success_rate,success_rate_allowed,epa_off_per_play,epa_def_allowed_per_play,net_epa_per_play,team_name
ARI,1.298,81,-8.64,95,0.4444,0.4211,0.01602469135802469,-0.09094736842105264,0.10697205977907732,Cardinals
ATL,0.9902,91,5.6305,74,0.4725,0.4189,0.010881318681318681,0.07608783783783783,-0.06520651915651915,Falcons
BAL,24.1608,71,21.5986,106,0.5634,0.4906,0.34029295774647883,0.20376037735849056,0.13653258038798827,Ravens
BUF,21.5986,106,24.1608,71,0.4906,0.5634,0.20376037735849056,0.34029295774647883,-0.13653258038798827,Bills
CAR,-8.2375,77,7.3409,82,0.3896,0.4756,-0.1069805194805195,0.08952317073170732,-0.1965036902122268,Panthers
CHI,-9.9554,90,-4.758,74,0.3778,0.4459,-0.11061555555555555,-0.0642972972972973,-0.04631825825825825,Bears
CIN,-4.522,68,-7.9291,90,0.4412,0.4,-0.0665,-0.08810111111111112,0.021601111111111113,Bengals
CLE,-7.9291,90,-4.522,68,0.4,0.4412,-0.08810111111111112,-0.0665,-0.021601111111111113,Browns
DAL,10.273,74,13.1746,77,0.5135,0.5325,0.13882432432432432,0.1710987012987013,-0.03227437697437699,Cowboys
DEN,-10.0775,92,-16.8402,77,0.4239,0.3247,-0.10953804347826088,-0.2187038961038961,0.10916585262563522,Broncos
DET,-4.4762,83,11.0872,60,0.4337,0.5,-0.05393012048192772,0.18478666666666665,-0.23871678714859437,Lions
GB,11.0872,60,-4.4762,83,0.5,0.4337,0.18478666666666665,-0.05393012048192772,0.23871678714859437,Packers
HOU,-9.2194,76,-5.595,75,0.3684,0.4,-0.12130789473684211,-0.0746,-0.046707894736842115,Texans
IND,21.3679,85,-8.9003,56,0.5529,0.4821,0.2513870588235294,-0.15893392857142857,0.410320987394958,Colts
JAX,7.3409,82,-8.2375,77,0.4756,0.3896,0.08952317073170732,-0.1069805194805195,0.1965036902122268,Jaguars
KC,10.369,79,17.0971,80,0.4557,0.575,0.131253164556962,0.21371375,-0.082460585443038,Chiefs
LA,-5.595,75,-9.2194,76,0.4,0.3684,-0.0746,-0.12130789473684211,0.046707894736842115,Rams
LAC,17.0971,80,10.369,79,0.575,0.4557,0.21371375,0.131253164556962,0.082460585443038,Chargers
LV,6.5349,80,-4.5019,91,0.45,0.4396,0.08168625,-0.04947142857142857,0.13115767857142857,Raiders
MIA,-8.9003,56,21.3679,85,0.4821,0.5529,-0.15893392857142857,0.2513870588235294,-0.410320987394958,Dolphins
MIN,-4.758,74,-9.9554,90,0.4459,0.3778,-0.0642972972972973,-0.11061555555555555,0.04631825825825825,Vikings
NE,-4.5019,91,6.5349,80,0.4396,0.45,-0.04947142857142857,0.08168625,-0.13115767857142857,Patriots
NO,-8.64,95,1.298,81,0.4211,0.4444,-0.09094736842105264,0.01602469135802469,-0.10697205977907732,Saints
NYG,-9.2839,82,6.0682,84,0.378,0.4881,-0.11321829268292682,0.07224047619047619,-0.185458768873403,Giants
NYJ,12.6281,80,15.8558,76,0.55,0.5132,0.15785125,0.20862894736842105,-0.050777697368421054,Jets
PHI,13.1746,77,10.273,74,0.5325,0.5135,0.1710987012987013,0.13882432432432432,0.03227437697437699,Eagles
PIT,15.8558,76,12.6281,80,0.5132,0.55,0.20862894736842105,0.15785125,0.050777697368421054,Steelers
SEA,-5.5058,67,1.0399,89,0.5224,0.4944,-0.08217611940298507,0.011684269662921349,-0.09386038906590642,Seahawks
SF,1.0399,89,-5.5058,67,0.4944,0.5224,0.011684269662921349,-0.08217611940298507,0.09386038906590642,49ers
TB,5.6305,74,0.9902,91,0.4189,0.4725,0.07608783783783783,0.010881318681318681,0.06520651915651915,Buccaneers
TEN,-16.8402,77,-10.0775,92,0.3247,0.4239,-0.2187038961038961,-0.10953804347826088,-0.10916585262563522,Titans
WAS,6.0682,84,-9.2839,82,0.4881,0.378,0.07224047619047619,-0.11321829268292682,0.185458768873403,Commanders
