game,underdog,favorite,spread,underdog_epa_off,underdog_epa_def_allowed,underdog_net_epa_corrected,favorite_epa_off,favorite_epa_def_allowed,favorite_net_epa_corrected,opponent_def_epa,defense_quality,net_epa_differential,cover_probability,confidence,is_home,predicted_cover_binary,predicted_winner,outright_win_probability
Chargers at Raiders,Raiders,Chargers,3.5,0.082,-0.049,0.131,0.214,0.131,0.083,0.131,WEAK,-0.048,0.642,MEDIUM,True,Yes,Raiders,0.55
Bills at Jets,Jets,Bills,6.5,0.158,-0.209,0.367,0.204,0.34,-0.136,0.34,WEAK,0.503,0.990,HIGH,True,Yes,Jets,0.85
Eagles at Chiefs,Chiefs,Eagles,0.5,0.131,-0.214,0.345,0.171,0.139,0.032,0.139,WEAK,0.313,0.990,HIGH,True,Yes,Chiefs,0.95
Bears at Lions,Bears,Lions,5.5,-0.111,0.064,-0.175,-0.054,0.0,-0.054,0.0,AVERAGE,-0.121,0.313,LOW,False,No,Lions,0.20
Browns at Ravens,Browns,Ravens,11.5,-0.088,0.110,-0.198,0.204,0.0,0.204,0.0,AVERAGE,-0.402,0.010,LOW,False,No,Ravens,0.05
Buccaneers at Texans,Buccaneers,Texans,2.5,0.076,0.076,0.0,-0.121,0.0,-0.121,0.0,AVERAGE,0.121,0.767,HIGH,False,Yes,Texans,0.70
Jaguars at Bengals,Jaguars,Bengals,3.5,0.09,0.09,0.0,-0.066,0.0,-0.066,0.0,AVERAGE,0.066,0.667,HIGH,False,Yes,Jaguars,0.75
Patriots at Dolphins,Patriots,Dolphins,1.5,-0.049,0.049,-0.098,-0.075,0.0,-0.075,0.0,AVERAGE,-0.023,0.469,MEDIUM,False,No,Dolphins,0.48
49ers at Saints,Saints,49ers,4.5,-0.091,0.198,0.107,0.012,0.0,0.012,0.0,AVERAGE,0.095,0.785,HIGH,True,Yes,Saints,0.80
Falcons at Vikings,Falcons,Vikings,4.5,0.011,-0.054,0.065,-0.064,0.0,-0.064,0.0,AVERAGE,0.129,0.803,HIGH,False,Yes,Falcons,0.75
Seahawks at Steelers,Seahawks,Steelers,3.0,-0.082,0.176,0.094,0.209,0.0,0.209,0.0,AVERAGE,-0.115,0.300,LOW,False,No,Steelers,0.35
Giants at Cowboys,Giants,Cowboys,5.5,-0.113,0.298,0.185,0.139,0.0,0.139,0.0,AVERAGE,0.046,0.647,HIGH,False,Yes,Giants,0.70
Panthers at Cardinals,Panthers,Cardinals,6.5,-0.107,0.304,0.197,0.016,0.0,0.016,0.0,AVERAGE,0.181,0.927,HIGH,False,Yes,Panthers,0.90
Broncos at Colts,Colts,Broncos,2.5,0.251,-0.159,0.41,0.082,-0.219,0.301,-0.219,STRONG,0.109,0.859,HIGH,True,Yes,Colts,0.85
Commanders at Packers,Commanders,Packers,3.5,0.072,-0.072,0.144,0.185,-0.054,0.239,-0.054,STRONG,-0.095,0.361,MEDIUM,False,No,Packers,0.60
Rams at Titans,Titans,Rams,5.5,-0.219,0.328,-0.547,-0.075,-0.121,0.046,-0.121,STRONG,-0.593,0.050,LOW,True,No,Rams,0.15
