away_team,home_team,favorite_team,underdog_team,spread_line,total_line
Steelers,Bengals,Steelers,Bengals,-5.5,46.5
Rams,Jaguars,Rams,Jaguars,-3,44.5
Saints,Bears,Bears,Saints,-5.5,47.5
Dolphins,Browns,Browns,Dolphins,-2.5,40.5
Patriots,Titans,Patriots,Titans,-7,42.5
Raiders,Chiefs,Chiefs,Raiders,-11.5,45.5
Eagles,Vikings,Eagles,Vikings,-2.5,43.5
Panthers,Jets,Panthers,Jets,-1.5,41.5
Giants,Broncos,Broncos,Giants,-7,40.5
Colts,Chargers,Chargers,Colts,-1.5,48.5
Commanders,Cowboys,Commanders,Cowboys,-2.5,55.5
Packers,Cardinals,Packers,Cardinals,-6.5,44.5
Falcons,49ers,49ers,Falcons,-2.5,47.5
Buccaneers,Lions,Lions,Buccaneers,-4.5,52.5
Texans,Seahawks,Seahawks,Texans,-3.5,41.5

